Id Label Weight
花卉苗木 花卉苗木 1
林竹 林竹 1
贷款 贷款 10
新生代 新生代 2
越来越近 越来越近 1
王先明 王先明 1
石泰峰 石泰峰 1
葡萄 葡萄 2
农田 农田 2
多元化 多元化 4
林田 林田 2
宣传教育 宣传教育 4
灌区 灌区 3
文化遗产 文化遗产 22
红白 红白 2
严肃查处 严肃查处 3
廓清 廓清 1
农田水利 农田水利 13
医疗卫生 医疗卫生 1
城市化 城市化 4
燕赵 燕赵 2
努力实现 努力实现 3
标准化 标准化 7
扶志 扶志 3
扶智 扶智 3
美的 美的 1
施策 施策 7
道德 道德 3
从严治党 从严治党 4
顾仲阳 顾仲阳 2
李锦斌 李锦斌 1
小岗村 小岗村 2
黑名单 黑名单 1
大力加强 大力加强 1
福祉 福祉 1
普惠 普惠 1
承包 承包 7
韩长赋 韩长赋 7
金白银 金白银 2
招才引 招才引 1
GDP GDP 2
田园生活 田园生活 1
清香 清香 1
格式化 格式化 1
古文化 古文化 1
温泉 温泉 1
规模经营 规模经营 7
社会化 社会化 3
网络 网络 13
高潮 高潮 1
安全感 安全感 4
高云才 高云才 4
产业化 产业化 1
海升 海升 1
苗圃 苗圃 1
井灌 井灌 1
水稻 水稻 8
大米 大米 7
隆兴镇 隆兴镇 1
黎坝 黎坝 1
金点子 金点子 1
诸城 诸城 1
郑淮茂 郑淮茂 1
齐全 齐全 1
党支部 党支部 4
养老院 养老院 1
雪堰镇 雪堰镇 1
唐海 唐海 1
怀柔区 怀柔区 1
村委会 村委会 1
小春 小春 1
心情舒畅 心情舒畅 1
吴兴区 吴兴区 1
施阿三 施阿三 1
古村落 古村落 1
纯收入 纯收入 2
黛瓦 黛瓦 1
绿树丛 绿树丛 1
黄宝忠 黄宝忠 1
李家庄 李家庄 1
赵村 赵村 2
产业结构 产业结构 1
西瓜 西瓜 4
夏邑 夏邑 1
荣枯 荣枯 1
谷雨 谷雨 2
高峰 高峰 1
白露 白露 1
关系密切 关系密切 1
保健 保健 1
许志峰 许志峰 1
论坛 论坛 2
田园风光 田园风光 1
骆惠宁 骆惠宁 1
毛泽东 毛泽东 1
孔夫子 孔夫子 1
村干部 村干部 24
唐良智 唐良智 1
巴味渝 巴味渝 1
山清水秀 山清水秀 1
才华 才华 1
关怀 关怀 1
和睦 和睦 1
一劳永逸 一劳永逸 1
蒙尘 蒙尘 1
有机肥 有机肥 2
盖房子 盖房子 1
青壮年 青壮年 1
高素质 高素质 1
任凭 任凭 1
努力创造 努力创造 1
优惠政策 优惠政策 4
惜才 惜才 1
金融服务 金融服务 6
生产者 生产者 4
远远不够 远远不够 2
银保 银保 1
王雨红 王雨红 1
双培 双培 1
徐进群 徐进群 1
双赢 双赢 1
高昂 高昂 2
市场秩序 市场秩序 2
广泛开展 广泛开展 1
农行 农行 6
凌家塘 凌家塘 3
林某 林某 1
农业银行 农业银行 1
特聘 特聘 1
白名单 白名单 1
小额贷款 小额贷款 1
孙徐亚 孙徐亚 1
阳澄湖 阳澄湖 6
花香 花香 2
吴尚云 吴尚云 1
洪水 洪水 1
水利建设 水利建设 1
贡献率 贡献率 6
毛渠 毛渠 1
小学生 小学生 2
越秀 越秀 1
边远 边远 1
夏粮 夏粮 2
含天猫 含天猫 1
明显增加 明显增加 1
档案 档案 1
高达 高达 4
养殖业 养殖业 5
那达慕 那达慕 1
车名马 车名马 1
牛羊 牛羊 1
中央财政 中央财政 1
养牛 养牛 2
养羊 养羊 1
井喷式 井喷式 1
李鬼 李鬼 1
小宗 小宗 1
刘永富 刘永富 1
巨大贡献 巨大贡献 1
吴秋余 吴秋余 1
毛桥村 毛桥村 2
广大群众 广大群众 3
拓宽渠道 拓宽渠道 2
于城镇 于城镇 2
农民负担 农民负担 2
果园 果园 2
发展观 发展观 2
林茂土 林茂土 2
农作物 农作物 2
合作医疗 合作医疗 2
养老保险 养老保险 3
国际 国际 3
安民 安民 1
包村 包村 1
雷声大 雷声大 1
矫正 矫正 1
扶志扶 扶志扶 1
扶德扶 扶德扶 1
黄澄澄 黄澄澄 1
农机 农机 3
成正比 成正比 1
晋升 晋升 2
丹桂 丹桂 1
但凡 但凡 1
阳光 阳光 1
黄振荣 黄振荣 2
特惠 特惠 2
强降雨 强降雨 1
段时间 段时间 1
冯春梅 冯春梅 2
汪洋 汪洋 2
邮政 邮政 2
杨传堂 杨传堂 2
夏宝龙 夏宝龙 2
王侠 王侠 2
万建民 万建民 2
周慕冰 周慕冰 2
王召明 王召明 2
陈晓华 陈晓华 2
宋丰强 宋丰强 2
马旭林 马旭林 2
王静 王静 2
吕维峰 吕维峰 2
平武 平武 1
植保 植保 1
贸易 贸易 2
冬小麦 冬小麦 1
冬闲 冬闲 1
田扩 田扩 1
桑基 桑基 1
桑树 桑树 2
慕名 慕名 1
大大增加 大大增加 1
宰客 宰客 1
科普 科普 1
