Id,Label,timeset,weight,indegree,outdegree,degree,modularity_class
"民主",民主,,12,154,154,308,47
"党组织",党组织,,34,226,226,452,27
"社会",社会,,66,262,262,524,28
"基层",基层,,41,262,262,524,33
"第一书记",第一书记,,5,86,86,172,43
"党委",党委,,19,172,172,344,29
"责任制",责任制,,8,118,118,236,49
"技能",技能,,5,32,32,64,6
"专家",专家,,8,67,67,134,6
"林林总总",林林总总,,1,5,5,10,6
"培训",培训,,37,128,128,256,6
"项目",项目,,32,174,174,348,57
"难题",难题,,13,84,84,168,3
"需求",需求,,39,187,187,374,6
"劳动力",劳动力,,9,131,131,262,36
"素质",素质,,8,77,77,154,14
"一家一户",一家一户,,3,24,24,48,6
"地方",地方,,64,225,225,450,41
"企业",企业,,72,233,233,466,31
"资源",资源,,66,225,225,450,32
"多渠道",多渠道,,3,60,60,120,55
"积极性",积极性,,25,153,153,306,32
"王东明",王东明,,1,23,23,46,43
"生产能力",生产能力,,3,70,70,140,11
"农村土地",农村土地,,12,124,124,248,38
"贫困人口",贫困人口,,16,153,153,306,42
"幸福感",幸福感,,9,100,100,200,22
"中央",中央,,41,238,238,476,59
"李克强",李克强,,1,23,23,46,43
"总理",总理,,1,23,23,46,43
"精神",精神,,35,221,221,442,48
"竞争力",竞争力,,11,100,100,200,3
"品牌",品牌,,41,173,173,346,4
"现代农业",现代农业,,68,242,242,484,35
"全国",全国,,80,276,276,552,36
"康养",康养,,4,38,38,76,10
"电子商务",电子商务,,7,89,89,178,40
"小镇",小镇,,34,56,56,112,37
"利益",利益,,29,193,193,386,72
"服务体系",服务体系,,8,113,113,226,53
"龙头企业",龙头企业,,15,139,139,278,46
"合作社",合作社,,25,197,197,394,33
"订单",订单,,30,98,98,196,31
"稳定",稳定,,46,258,258,516,38
"扶贫",扶贫,,106,270,270,540,39
"因地制宜",因地制宜,,15,179,179,358,56
"田园",田园,,6,59,59,118,10
"法律",法律,,6,61,61,122,31
"土地",土地,,37,262,262,524,40
"经营权",经营权,,3,49,49,98,6
"市场",市场,,134,266,266,532,41
"脱贫",脱贫,,73,241,241,482,42
"基金",基金,,6,100,100,200,43
"信贷",信贷,,6,71,71,142,43
"财政",财政,,12,126,126,252,34
"融资",融资,,5,44,44,88,37
"政策",政策,,104,300,300,600,44
"支持",支持,,48,215,215,430,45
"养老",养老,,13,150,150,300,65
"基层组织",基层组织,,6,121,121,242,52
"科学",科学,,35,202,202,404,46
"经济效益",经济效益,,4,61,61,122,17
"商品",商品,,8,78,78,156,71
"经济作物",经济作物,,1,22,22,44,17
"效益",效益,,24,168,168,336,30
"工业",工业,,5,98,98,196,50
"运输",运输,,7,54,54,108,4
"惠康",惠康,,1,22,22,44,17
"科技",科技,,30,194,194,388,47
"招贤",招贤,,1,22,22,44,17
"合作",合作,,23,203,203,406,34
"顾问团",顾问团,,1,22,22,44,17
"生态环境",生态环境,,29,222,222,444,49
"高水平",高水平,,9,152,152,304,50
"文明村",文明村,,1,22,22,44,17
"小康之家",小康之家,,1,22,22,44,17
"子孙后代",子孙后代,,3,60,60,120,17
"标准",标准,,25,172,172,344,60
"体制改革",体制改革,,4,64,64,128,17
"农场",农场,,16,170,170,340,62
"改革开放",改革开放,,7,91,91,182,58
"石家庄",石家庄,,2,35,35,70,17
"投资",投资,,29,136,136,272,2
"宁德",宁德,,2,75,75,150,11
"宝贵",宝贵,,5,101,101,202,54
"西部",西部,,4,60,60,120,3
"经济社会",经济社会,,13,180,180,360,52
"蓝图",蓝图,,7,95,95,190,11
"党中央",党中央,,16,141,141,282,67
"城镇化",城镇化,,14,136,136,272,13
"小康",小康,,23,206,206,412,53
"农惠农",农惠农,,5,107,107,214,63
"小康社会",小康社会,,18,159,159,318,54
"茶叶",茶叶,,6,73,73,146,55
"报告",报告,,22,184,184,368,55
"市场经济",市场经济,,3,77,77,154,11
"生态农业",生态农业,,13,168,168,336,56
"智慧",智慧,,7,84,84,168,53
"食品安全",食品安全,,5,97,97,194,11
"政策措施",政策措施,,2,45,45,90,39
"贫困县",贫困县,,16,120,120,240,39
"贫困户",贫困户,,32,109,109,218,39
"千秋",千秋,,2,52,52,104,11
"水土保持",水土保持,,2,47,47,94,2
"养殖",养殖,,14,143,143,286,5
"农药",农药,,8,121,121,242,73
"工业化",工业化,,8,110,110,220,58
"惠民",惠民,,3,57,57,114,11
"林权",林权,,4,121,121,242,11
"龙岩",龙岩,,1,40,40,80,11
"林改",林改,,2,75,75,150,11
"宝贵财富",宝贵财富,,4,95,95,190,7
"市场化",市场化,,8,103,103,206,28
"消费",消费,,24,159,159,318,13
"明显改善",明显改善,,3,83,83,166,61
"和谐社会",和谐社会,,5,135,135,270,70
"行业",行业,,11,121,121,242,68
"天荒坪",天荒坪,,1,40,40,80,16
"蓝天",蓝天,,1,40,40,80,16
"林木",林木,,1,40,40,80,16
"公共财政",公共财政,,7,139,139,278,61
"建立健全",建立健全,,17,183,183,366,62
"普惠性",普惠性,,2,48,48,96,16
"长效机制",长效机制,,10,154,154,308,63
"义务教育",义务教育,,3,53,53,106,16
"养老金",养老金,,3,83,83,166,20
"医疗保险",医疗保险,,3,83,83,166,64
"村民",村民,,30,176,176,352,65
"权益",权益,,6,96,96,192,31
"博大精深",博大精深,,4,93,93,186,66
"弘扬",弘扬,,12,152,152,304,67
"蔬菜",蔬菜,,11,71,71,142,4
"石斛",石斛,,2,15,15,30,4
"玛卡",玛卡,,2,15,15,30,4
"老大难",老大难,,1,9,9,18,3
"市场需求",市场需求,,10,87,87,174,31
"宛若",宛若,,1,8,8,16,42
"冰凌",冰凌,,1,8,8,16,42
"王福满",王福满,,1,8,8,16,42
"辛勤",辛勤,,1,8,8,16,42
"母爱",母爱,,1,8,8,16,42
"贫困地区",贫困地区,,17,130,130,260,42
"农家乐",农家乐,,20,52,52,104,22
"承载力",承载力,,3,21,21,42,37
"国务院",国务院,,3,34,34,68,10
"金融",金融,,12,102,102,204,47
"农耕",农耕,,17,110,110,220,2
"小麦",小麦,,7,50,50,100,6
"掌勺",掌勺,,1,7,7,14,4
"稻谷",稻谷,,6,42,42,84,6
"粮价",粮价,,6,37,37,74,6
"托起来",托起来,,1,9,9,18,6
"补贴",补贴,,25,107,107,214,6
"谷贱伤农",谷贱伤农,,1,9,9,18,6
"田野",田野,,4,22,22,44,31
"粮食价格",粮食价格,,3,32,32,64,6
"期货市场",期货市场,,17,68,68,136,71
"买卖双方",买卖双方,,1,27,27,54,71
"金融机构",金融机构,,10,83,83,166,71
"规模化",规模化,,6,91,91,182,40
"集约化",集约化,,5,139,139,278,66
"期货",期货,,43,88,88,176,71
"保险",保险,,31,85,85,170,71
"公司",公司,,8,88,88,176,71
"保险公司",保险公司,,5,68,68,136,71
"农业部",农业部,,2,42,42,84,71
"大力支持",大力支持,,1,27,27,54,71
"试点工作",试点工作,,2,42,42,84,71
"资金",资金,,34,161,161,322,57
"银行",银行,,3,36,36,72,71
"成本",成本,,19,102,102,204,5
"监管",监管,,16,113,113,226,4
"吴奇修",吴奇修,,1,13,13,26,10
"宏观调控",宏观调控,,1,13,13,26,10
"公正",公正,,1,13,13,26,10
"马瑞燕",马瑞燕,,3,7,7,14,14
"亚军",亚军,,1,2,2,4,14
"于伟国",于伟国,,1,5,5,10,2
"花卉苗木",花卉苗木,,1,5,5,10,2
"林竹",林竹,,1,5,5,10,2
"贷款",贷款,,10,52,52,104,74
"新生代",新生代,,2,11,11,22,23
"越来越近",越来越近,,1,5,5,10,23
"王先明",王先明,,1,4,4,8,10
"石泰峰",石泰峰,,1,22,22,44,10
"葡萄",葡萄,,2,44,44,88,28
"农田",农田,,2,40,40,80,22
"多元化",多元化,,4,46,46,92,2
"林田",林田,,2,38,38,76,28
"宣传教育",宣传教育,,4,54,54,108,6
"灌区",灌区,,3,35,35,70,76
"文化遗产",文化遗产,,22,65,65,130,2
"红白",红白,,2,38,38,76,28
"严肃查处",严肃查处,,3,34,34,68,31
"廓清",廓清,,1,22,22,44,10
"农田水利",农田水利,,13,53,53,106,76
"医疗卫生",医疗卫生,,1,22,22,44,10
"城市化",城市化,,4,82,82,164,70
"燕赵",燕赵,,2,51,51,102,49
"努力实现",努力实现,,3,57,57,114,49
"标准化",标准化,,7,77,77,154,4
"扶志",扶志,,3,45,45,90,10
"扶智",扶智,,3,45,45,90,10
"美的",美的,,1,26,26,52,48
"施策",施策,,7,69,69,138,49
"道德",道德,,3,53,53,106,10
"从严治党",从严治党,,4,75,75,150,49
"顾仲阳",顾仲阳,,2,13,13,26,39
"李锦斌",李锦斌,,1,28,28,56,1
"小岗村",小岗村,,2,56,56,112,24
"黑名单",黑名单,,1,28,28,56,8
"大力加强",大力加强,,1,28,28,56,8
"福祉",福祉,,1,28,28,56,8
"普惠",普惠,,1,28,28,56,8
"承包",承包,,7,81,81,162,6
"韩长赋",韩长赋,,7,75,75,150,10
"金白银",金白银,,2,16,16,32,10
"招才引",招才引,,1,11,11,22,10
GDP,GDP,,2,19,19,38,10
"田园生活",田园生活,,1,3,3,6,10
"清香",清香,,1,3,3,6,10
"格式化",格式化,,1,3,3,6,10
"古文化",古文化,,1,3,3,6,10
"温泉",温泉,,1,3,3,6,10
"规模经营",规模经营,,7,101,101,202,72
"社会化",社会化,,3,18,18,36,4
"网络",网络,,13,51,51,102,14
"高潮",高潮,,1,8,8,16,2
"安全感",安全感,,4,43,43,86,2
"高云才",高云才,,4,45,45,90,4
"产业化",产业化,,1,18,18,36,65
"海升",海升,,1,18,18,36,65
"苗圃",苗圃,,1,18,18,36,65
"井灌",井灌,,1,18,18,36,65
"水稻",水稻,,8,60,60,120,65
"大米",大米,,7,46,46,92,4
"隆兴镇",隆兴镇,,1,18,18,36,65
"黎坝",黎坝,,1,18,18,36,65
"金点子",金点子,,1,18,18,36,65
"诸城",诸城,,1,18,18,36,65
"郑淮茂",郑淮茂,,1,18,18,36,65
"齐全",齐全,,1,18,18,36,65
"党支部",党支部,,4,49,49,98,65
"养老院",养老院,,1,18,18,36,65
"雪堰镇",雪堰镇,,1,18,18,36,65
"唐海",唐海,,1,18,18,36,65
"怀柔区",怀柔区,,1,18,18,36,65
"村委会",村委会,,1,18,18,36,65
"小春",小春,,1,18,18,36,65
"心情舒畅",心情舒畅,,1,18,18,36,65
"吴兴区",吴兴区,,1,18,18,36,65
"施阿三",施阿三,,1,18,18,36,65
"古村落",古村落,,1,18,18,36,65
"纯收入",纯收入,,2,36,36,72,65
"黛瓦",黛瓦,,1,18,18,36,65
"绿树丛",绿树丛,,1,18,18,36,65
"黄宝忠",黄宝忠,,1,18,18,36,65
"李家庄",李家庄,,1,18,18,36,65
"赵村",赵村,,2,36,36,72,65
"产业结构",产业结构,,1,6,6,12,41
"西瓜",西瓜,,4,36,36,72,31
"夏邑",夏邑,,1,6,6,12,31
"荣枯",荣枯,,1,3,3,6,2
"谷雨",谷雨,,2,9,9,18,2
"高峰",高峰,,1,3,3,6,2
"白露",白露,,1,3,3,6,2
"关系密切",关系密切,,1,3,3,6,2
"保健",保健,,1,3,3,6,2
"许志峰",许志峰,,1,5,5,10,71
"论坛",论坛,,2,20,20,40,71
"田园风光",田园风光,,1,13,13,26,22
"骆惠宁",骆惠宁,,1,15,15,30,2
"毛泽东",毛泽东,,1,10,10,20,2
"孔夫子",孔夫子,,1,10,10,20,2
"村干部",村干部,,24,85,85,170,32
"唐良智",唐良智,,1,17,17,34,10
"巴味渝",巴味渝,,1,17,17,34,10
"山清水秀",山清水秀,,1,17,17,34,10
"才华",才华,,1,17,17,34,10
"关怀",关怀,,1,17,17,34,10
"和睦",和睦,,1,17,17,34,10
"一劳永逸",一劳永逸,,1,7,7,14,4
"蒙尘",蒙尘,,1,7,7,14,4
"有机肥",有机肥,,2,11,11,22,4
"盖房子",盖房子,,1,6,6,12,32
"青壮年",青壮年,,1,6,6,12,10
"高素质",高素质,,1,6,6,12,10
"任凭",任凭,,1,6,6,12,10
"努力创造",努力创造,,1,6,6,12,10
"优惠政策",优惠政策,,4,24,24,48,10
"惜才",惜才,,1,6,6,12,10
"金融服务",金融服务,,6,65,65,130,47
"生产者",生产者,,4,24,24,48,5
"远远不够",远远不够,,2,14,14,28,5
"银保",银保,,1,7,7,14,5
"王雨红",王雨红,,1,0,0,0,77
"双培",双培,,1,0,0,0,78
"徐进群",徐进群,,1,0,0,0,79
"双赢",双赢,,1,7,7,14,31
"高昂",高昂,,2,13,13,26,31
"市场秩序",市场秩序,,2,13,13,26,31
"广泛开展",广泛开展,,1,7,7,14,31
"农行",农行,,6,30,30,60,74
"凌家塘",凌家塘,,3,8,8,16,74
"林某",林某,,1,4,4,8,74
"农业银行",农业银行,,1,4,4,8,74
"特聘",特聘,,1,4,4,8,74
"白名单",白名单,,1,4,4,8,74
"小额贷款",小额贷款,,1,4,4,8,74
"孙徐亚",孙徐亚,,1,4,4,8,74
"阳澄湖",阳澄湖,,6,20,20,40,4
"花香",花香,,2,15,15,30,4
"吴尚云",吴尚云,,1,4,4,8,76
"洪水",洪水,,1,4,4,8,76
"水利建设",水利建设,,1,4,4,8,76
"贡献率",贡献率,,6,97,97,194,36
"毛渠",毛渠,,1,4,4,8,76
"小学生",小学生,,2,15,15,30,14
"越秀",越秀,,1,8,8,16,14
"边远",边远,,1,8,8,16,14
"夏粮",夏粮,,2,24,24,48,6
"含天猫",含天猫,,1,14,14,28,2
"明显增加",明显增加,,1,14,14,28,2
"档案",档案,,1,14,14,28,2
"高达",高达,,4,36,36,72,6
"养殖业",养殖业,,5,131,131,262,14
"那达慕",那达慕,,1,4,4,8,13
"车名马",车名马,,1,4,4,8,13
"牛羊",牛羊,,1,4,4,8,13
"中央财政",中央财政,,1,4,4,8,13
"养牛",养牛,,2,12,12,24,13
"养羊",养羊,,1,4,4,8,13
"井喷式",井喷式,,1,4,4,8,4
"李鬼",李鬼,,1,4,4,8,4
"小宗",小宗,,1,4,4,8,4
"刘永富",刘永富,,1,16,16,32,14
"巨大贡献",巨大贡献,,1,16,16,32,14
"吴秋余",吴秋余,,1,2,2,4,10
"毛桥村",毛桥村,,2,69,69,138,14
"广大群众",广大群众,,3,71,71,142,51
"拓宽渠道",拓宽渠道,,2,69,69,138,14
"于城镇",于城镇,,2,69,69,138,14
"农民负担",农民负担,,2,69,69,138,14
"果园",果园,,2,69,69,138,14
"发展观",发展观,,2,69,69,138,14
"林茂土",林茂土,,2,69,69,138,14
"农作物",农作物,,2,69,69,138,7
"合作医疗",合作医疗,,2,69,69,138,14
"养老保险",养老保险,,3,72,72,144,32
"国际",国际,,3,71,71,142,14
"安民",安民,,1,14,14,28,8
"包村",包村,,1,6,6,12,39
"雷声大",雷声大,,1,6,6,12,39
"矫正",矫正,,1,6,6,12,39
"扶志扶",扶志扶,,1,6,6,12,39
"扶德扶",扶德扶,,1,6,6,12,39
"黄澄澄",黄澄澄,,1,4,4,8,6
"农机",农机,,3,18,18,36,6
"成正比",成正比,,1,4,4,8,32
"晋升",晋升,,2,9,9,18,32
"丹桂",丹桂,,1,3,3,6,4
"但凡",但凡,,1,3,3,6,4
"阳光",阳光,,1,3,3,6,4
"黄振荣",黄振荣,,2,15,15,30,3
"特惠",特惠,,2,15,15,30,3
"强降雨",强降雨,,1,3,3,6,6
"段时间",段时间,,1,3,3,6,6
"冯春梅",冯春梅,,2,14,14,28,47
"汪洋",汪洋,,2,14,14,28,47
"邮政",邮政,,2,14,14,28,47
"杨传堂",杨传堂,,2,14,14,28,47
"夏宝龙",夏宝龙,,2,14,14,28,47
"王侠",王侠,,2,14,14,28,47
"万建民",万建民,,2,14,14,28,47
"周慕冰",周慕冰,,2,14,14,28,47
"王召明",王召明,,2,14,14,28,47
"陈晓华",陈晓华,,2,14,14,28,47
"宋丰强",宋丰强,,2,14,14,28,47
"马旭林",马旭林,,2,14,14,28,47
"王静",王静,,2,14,14,28,47
"吕维峰",吕维峰,,2,14,14,28,47
"平武",平武,,1,7,7,14,14
"植保",植保,,1,7,7,14,14
"贸易",贸易,,2,12,12,24,6
"冬小麦",冬小麦,,1,6,6,12,6
"冬闲",冬闲,,1,6,6,12,6
"田扩",田扩,,1,6,6,12,6
"桑基",桑基,,1,9,9,18,2
"桑树",桑树,,2,18,18,36,2
"慕名",慕名,,1,4,4,8,10
"大大增加",大大增加,,1,4,4,8,10
"宰客",宰客,,1,4,4,8,10
"科普",科普,,1,4,4,8,10
