探索 现代化
增收 提高
提高 综合
政策 得到
得到 加强
加强 完善
种粮 补贴
补贴 补贴
综合 补贴
补贴 补贴
补贴 力度
力度 加大
综合 改革
综合 农村金融
改革 农村金融
改革 改革
农村金融 改革
改革 流通
集体 制度
制度 改革
制度 全面
改革 全面
积极性 近年来
近年来 经济
连续 增产
增产 连续
连续 增产
支撑 农民收入
支撑 连续
农民收入 连续
人均 收入
收入 实际
实际 增长
各项 社会
各项 事业
社会 事业
社会 得到
事业 得到
事业 全面
得到 全面
得到 推进
全面 推进
全面 国家
推进 国家
制度 试点
全国 范围
范围 建立
获得 更
环境 改善
进入 加快
加快 阶段
达到 左右
资源 利用
管理 围绕
围绕 目标
目标 社会主义
实践 中
中 社会主义
中国 历史
中国 特色
中国 社会主义
特色 社会主义
我国 人口
进一步 加强
进一步 城市
加强 城市
加强 支持
城市 支持
支持 工业
进一步 建立
建立 完善
完善 一定
科学 指导
实践 切实
切实 历史
历史 中国
改革 推动
推动 中国
中国 社会主义
中国 现代化
社会主义 现代化
权益 保障
保持 城乡
保持 协调
城乡 协调
保证 安全
重大 现实
现实 中国
经济社会 取得
城乡 差距
城乡 增加
差距 增加
差距 农民收入
增加 农民收入
增加 保障
农民收入 保障
农民收入 农民工
保障 农民工
社会 事业
事业 方面
方面 采取
方面 更加
采取 更加
措施 应
应 社会主义
社会主义 市场
要求 改变
要求 城乡
改变 城乡
城乡 经济社会
经济社会 结构
结构 解决
实现 城乡
实现 协调
城乡 协调
下乡 致富
专家 深入
致富 信息
信息 技术
解决 难题
增收 有效
有效 机制
涉农 部门
涉农 组织
部门 组织
部门 成立
组织 成立
专家 下乡
专家 加快
下乡 加快
扶持 制度
本报 北京
中国 国际
中央 支农
中央 力度
支农 力度
力度 加大
加大 社会主义
推进 我国
历史 时期
增收 经济社会
今年 全国
全国 人均
人均 收入
农民收入 连续
连续 超过
结构 优化
高效 稳定
明显 加快
连续 中央
中央 文件
实际 用于
增加 今年
增加 达到
今年 达到
达到 亿元
基础 得到
得到 加强
得到 社会主义
加强 社会主义
突破 产业化
产业化 取得
专业 合作
专业 组织
合作 组织
组织 促进
产业化 组织
带动 农户
产业化 组织
产业化 带动
组织 带动
基地 带动
带动 养殖
养殖 万亩
万亩 带动
全国 专业
专业 合作
专业 经济
合作 经济
合作 组织
经济 组织
质量 安全
质量 水平
安全 水平
水平 提高
提高 现代农业
建立 国家
示范 带动
示范 面积
带动 面积
带动 达
面积 达
达 优质
优质 品牌
提高 进城
进城 环境
环境 得到
得到 改善
改善 劳动力
劳动力 收入
收入 持续
收入 增加
持续 增加
就业 劳动力
增加 增长
今年 全国
长期 研究
我国 发生
中央 三农问题
重中之重 连续
政策 进一步
进一步 深化
城乡 统筹
本报 北京
农业银行 改革
增收 目标
目标 金融
需要 加快
加快 适应
金融 金融
金融 金融
金融 组织
组织 作用
作用 农业银行
银行 当前
当前 推进
当前 社会主义
推进 社会主义
作用 认为
认为 城乡
农民收入 增加
金融 需求
增长 金融服务
创新 模式
模式 提高
提高 金融服务
提高 水平
金融服务 水平
金融服务 成为
水平 成为
成为 金融
金融 产品
县域 优质
县域 金融服务
优质 金融服务
成为 农业银行
比较 优势
优势 成为
推进 改革
改革 过程
改革 中
过程 中
过程 农业银行
中 农业银行
方面 提高
适应 银行
农行 研究
研究 开发
研究 适应
开发 适应
适应 需要
需要 产品
产品 风险
风险 成立
研究 开发
市场 适应
适应 不同
需要 产品
不同 产品
产品 不同
不同 风险
风险 研究
研究 创新
需要 加强
加强 培训
培训 建立
业务 专业
专业 研究
研究 建立
金融服务 业务
业务 国家
国家 政策
国家 扶持
政策 扶持
政策 体系
扶持 体系
体系 适应
地区 经济
经营 成本
改革 中心
我国 经济
中国 经济
中国 中
经济 中
推进 社会主义
全面 小康社会
小康社会 具有
近年来 我国
我国 数量
推进 我国
推进 城镇化
我国 城镇化
我国 进程
城镇化 进程
城镇化 发挥
进程 发挥
进程 积极
发挥 积极
发挥 作用
积极 作用
中心 城市
产业 水平
促进 健康
健康 必须
必须 加强
必须 经济社会
加强 经济社会
经济社会 规划
指导 规划
经济 水平
目标 政府
调整 加大
程度 进一步
程度 促进
进一步 促进
进一步 政府
促进 政府
政府 市场
投资 环境
投资 实现
环境 实现
应 坚持
提高 就业
目标 重点
目标 解决
重点 解决
人口 生活
生活 就业
就业 发挥
加强 基础设施
改善 生活
生活 环境
生活 带动
环境 带动
带动 社会
社会 事业
生活 扩大
生活 就业
扩大 就业
扩大 促进
就业 促进
就业 人口
促进 人口
落实 全面
落实 协调
全面 协调
协调 持续
持续 基本
基本 要求
协调 机制
企业 建立
建立 特别
经济 水平
水平 环境
利用 保护
保护 耕地
保护 最大
耕地 最大
发挥 土地
带动 地区
地区 环境
环境 改善
改善 深入
深入 国务院
政策 促进
促进 企业
企业 产业
产业 使用
促进 城乡
促进 统筹
城乡 统筹
重视 区域
解决 城市
促进 劳动力
成本 投资
本报 北京
报告 推进
报告 社会主义
推进 社会主义
情况 了解
了解 中央
中央 用于
资金 达
资金 亿元
达 亿元
推进 社会主义
积极 现代农业
现代农业 推进
推进 社会主义
各项 取得
取得 报告
报告 中
经济 稳定
稳定 粮食
粮食 主要
主要 供给
供给 今年
粮食 超过
超过 实现
实现 连续
连续 增产
增产 连续
连续 历史
产量 历史
历史 水平
水平 农民收入
水平 保持
农民收入 保持
农民收入 连续
保持 连续
增长 增收
增长 渠道
增收 渠道
增收 进一步
渠道 进一步
实现 连续
超过 科技
科技 创新
加快 基础设施
基础设施 加强
综合 水平
水平 达到
水平 重大
达到 重大
体系 取得
取得 耕地
耕地 保护
力度 加大
力度 土地
加大 土地
加大 开发
土地 开发
规模 万亩
万亩 耕地
耕地 万亩
万亩 教育
教育 文化
文化 事业
文化 加快
事业 加快
家庭 得到
人口 达到
没有 根本
没有 改变
根本 改变
改变 稳定
持续 增收
面临 不少
不少 情况
情况 矛盾
确保 粮食
粮食 主要
主要 供给
供给 加大
加大 促进
促进 持续
持续 增收
增收 加大
加大 科技
科技 支撑
科技 能力
支撑 能力
支撑 不足
能力 不足
统筹 城乡
城乡 推进
推进 社会主义
切实 保障
切实 主要
保障 主要
主要 供给
主要 价格
实现 达到
人均 增长
增长 重点
重点 做好
做好 方面
城乡 统筹
保障 主要
主要 有效
有效 供给
供给 促进
促进 就业
就业 增收
基础 加强
加强 耕地
加强 资源
耕地 资源
资源 生态
