现在 进入
增加 投入
加快 基础设施
提高 综合
保护 能力
经济社会 取得
强调 做好
强调 今年
做好 今年
保持 经济
政策 进一步
生活 条件
创新 特色
精神 努力
精神 促进
努力 促进
取得 突破
突破 粮食
突破 实现
粮食 实现
粮食 连续
实现 连续
我国 历史
历史 水平
水平 人均
人均 达到
历史 增加
一年 我国
成果 进一步
政策 家庭
家庭 经济
家庭 困难
经济 困难
生活 补贴
生活 保障
本报 北京
我国 小麦
小麦 出现
小麦 面积
委员 国务院
进一步 提出
进一步 要求
提出 要求
要求 指出
指出 小麦
突破 历史
造成 影响
地区 出现
地区 部门
加强 组织
加强 领导
组织 领导
组织 确保
领导 确保
领导 措施
确保 措施
加强 技术
指导 科学
科学 加强
加强 政策
加强 支持
政策 支持
政策 强化
支持 强化
支持 资金
强化 资金
资金 保障
保障 协调
协调 形成
面积 达
万亩 地方
发生 困难
持续 持续
采取 措施
措施 做好
农业部 加强
落实 措施
措施 开展
开展 技术
技术 指导
组织 专家
指导 落实
落实 技术
落实 措施
技术 措施
农业部 全国
落实 要求
落实 各地
要求 各地
技术 进一步
努力 促进
统一 管理
保障 地区
努力 扩大
扩大 加强
加强 设施
设施 完善
完善 工程
工程 体系
工程 提高
体系 提高
能力 组织
规划 整合
资源 加大
资源 投入
加大 投入
加大 力度
投入 力度
投入 增加
力度 增加
经济 环境
环境 重大
重大 变化
重大 促进
变化 促进
促进 稳定
持续 增收
持续 促进
增收 促进
促进 消费
消费 必须
必须 改善
改善 金融服务
金融服务 贷款
贷款 难
贷款 产品
难 产品
中央 一号
中央 文件
一号 文件
一号 提出
文件 提出
提出 鼓励
鼓励 支持
支持 金融机构
支持 创新
金融机构 创新
金融机构 农村金融
创新 农村金融
创新 产品
农村金融 产品
产品 金融服务
金融服务 探索
金融服务 建立
探索 建立
建立 信贷
支持 实现
金融 创新
公司 农户
公司 本报记者
农户 本报记者
养殖 公司
资金 过去
过去 技术
公司 农户
专业 种植
养殖 方面
养殖 资金
方面 资金
方面 需求
资金 需求
资金 增加
需求 增加
需求 过去
增加 过去
不能 满足
信用社 创新
信用社 公司
创新 公司
创新 农户
公司 农户
农户 公司
公司 农户
公司 合作
农户 合作
农户 组织
合作 组织
信贷 模式
信贷 农户
模式 农户
达到 万元
介绍 模式
公司 县
县 信用社
信用社 信用社
贷款 担保
贷款 能力
担保 能力
能力 担保
担保 公司
公司 农户
农户 养殖
实际 增加
养殖 公司
资金 贷款
贷款 不足
进行 担保
担保 公司
公司 具有
具有 一定
一定 经济
基础 信用社
信用社 累计
信用社 发放
累计 发放
累计 特别
发放 特别
特别 贷款
万元 发生
记者 养殖
养殖 公司
进行 信贷
进行 调查
信贷 调查
信用社 获得
企业 扩大
企业 规模
扩大 规模
规模 获得
模式 公司
信用社 利益
利益 主体
主体 起来
公司 农户
农户 模式
模式 公司
农户 担保
农户 贷款
担保 贷款
担保 万元
贷款 万元
万元 提供
养殖 统一
收购 公司
利益 保证
保证 公司
公司 利益
提供 公司
公司 一年
公司 收入
一年 收入
担保 贷款
规模 达到
公司 建成
养殖 收购
养殖 加工
收购 加工
收购 销售
加工 销售
达到 万元
农户 切实
农户 收益
切实 收益
村 村民
公司 担保
没有 资金
没有 没有
资金 没有
资金 技术
没有 技术
信用社 资金
资金 支持
公司 技术
技术 销售
技术 支持
销售 支持
保险 担保
保险 本报记者
担保 本报记者
农户 贷款
贷款 保险
创业 更
合作 银行
银行 万元
万元 贷款
保险 很多
去年 经济
经济 环境
资金 风险
情况 银行
提供 贷款
贷款 保险
保险 中国
主要 保障
万元 万元
万元 万元
万元 万元
万元 贷款
万元 贷款
贷款 万元
时 选择
经济 创业
搞 养殖
银行 万元
万元 贷款
贷款 万元
农村金融 保险
保险 具有
保险 资金
具有 资金
资金 风险
风险 保障
担保 难
贷款 创业
创业 没有
风险 保障
积极性 提高
市场 收入
收入 增加
增加 中国
合作 银行
亿元 增加
实现 收入
收入 万元
收入 风险
万元 风险
万元 保障
风险 保障
风险 超过
保障 超过
保障 亿元
超过 亿元
亿元 农户
农户 贷款
贷款 保险
实际 适应
农村金融 改善
改善 金融服务
金融服务 方面
金融服务 平台
我国 改革
改革 创新
改革 成果
创新 成果
蔬菜 种植
贷款 万元
扩大 亩
蔬菜 达
达 贷款
惠农 解决
各地 经济
帮助 增收
增收 致富
惠农 惠农
基本 功能
功能 开发
特色 功能
功能 农户
农户 贷款
农户 获得
贷款 获得
贷款 农行
获得 农行
业务 实现
化肥 农药
农户 贷款
农户 功能
贷款 功能
贷款 解决
功能 解决
家庭 中
保证 贷款
保证 资金
贷款 资金
贷款 主要
资金 主要
资金 用于
主要 用于
惠农 去年
万元 贷款
贷款 惠农
中 惠农
作用 发生
发生 农行
惠农 农户
农户 发放
发放 贷款
贷款 万元
贷款 真正
万元 真正
今年 农行
发放 惠农
完成 农户
农户 发放
发放 万元
万元 惠农
解决 三农问题
金融服务 平台
我国 金融
金融 成果
成果 金融
金融 产品
金融 创新
产品 创新
产品 成果
创新 成果
渠道 农行
本报 北京
中 介绍
关注 三农问题
增长 基础
稳定 重点
今年 中央
今年 一号
中央 一号
中央 文件
一号 文件
一号 继续
文件 继续
参与 累计
基层 代表
保险 本报记者
财政 万元
万元 农机
农机 补贴
万元 投入
做 做
做 代表
代表 帮助
国家 应
国家 加大
应 加大
应 转移
加大 转移
保障 范围
保证 全国
本报记者 本报记者
重点 粮食
粮食 根本
根本 增收
增收 全国
粮食 促进
粮食 粮食
促进 粮食
促进 相关
粮食 相关
粮食 产业
相关 产业
确保 增收
代表 抓好
抓好 粮食
确保 国家
确保 粮食安全
国家 粮食安全
粮食安全 需要
工程 建议
建议 国家
建议 出台
国家 出台
国家 政策
出台 政策
出台 进一步
政策 进一步
进一步 粮食
粮食 做好
做好 各项
做好 支农
各项 支农
各项 资金
支农 资金
资金 整合
产业化 提高
程度 实现
程度 企业
实现 企业
实现 农户
企业 农户
资金 需求
贷款 城市
资金 下乡
资金 本报记者
下乡 本报记者
中 看到
中 政府
看到 政府
政府 报告
报告 中
报告 提出
中 提出
中 今年
提出 今年
安排 投入
投入 亿元
代表 委员
建议 中国
委员 政府
委员 应
政府 应
委员 政府
政府 应
资金 政府
政府 体系
投入 补贴
机制 重点
重点 扶持
各地 政府
各地 提供
政府 提供
政府 一定
提供 一定
信贷 支持
支持 政府
实行 城乡
制度 本报记者
代表 当前
没有 根本
没有 改善
根本 改善
根本 需要
改善 需要
改善 进行
需要 进行
需要 规划
进行 规划
规划 引导
引导 资金
资金 扶持
扶持 建议
增长 重点
重点 应该
应该 结合
中心 村
中心 集中
村 集中
集中 配套
配套 设施
补贴 基础设施
基础设施 集中
集中 改善
生活 环境
生活 实现
环境 实现
实现 用地
我国 现代
维护 生态
维护 安全
生态 安全
体制 机制
国家 惠农
国家 政策
惠农 政策
代表 建议
建议 中央
中央 政策
政策 实施
实施 过程
实施 中
过程 中
过程 继续
中 继续
中 加大
继续 加大
基础设施 改造
改造 支持
支持 力度
支持 地方
力度 地方
力度 各级
地方 各级
地方 政府
各级 政府
政府 应
应 结合
各项 惠农
各项 工程
惠农 工程
惠农 加快
工程 加快
进程 本报记者
很多 没有
很多 技术
没有 技术
村 种植
种植 养殖
种植 大户
养殖 大户
地方 政府
提供 一定
解决 技术
技术 管理
管理 难题
一定 程度
就业 本报记者
推广 体系
体系 代表
集团 保证
粮食 增产
增产 增收
有效 保证
保证 政策
政策 积极性
积极性 我国
我国 粮食
历史 达到
达到 近年来
近年来 实现
实现 连续
连续 增产
增产 人均
人均 达到
达到 实际
实际 增长
实际 连续
增长 连续
超过 代表
超过 委员
代表 委员
国家 出台
惠农 政策
经营 积极性
投入 达到
达到 亿元
增加 亿元
政策 稳定
稳定 粮食
粮食 提供
提供 支撑
支撑 经济
今年 政府
政府 报告
报告 进一步
进一步 提出
提出 稳定
稳定 粮食
促进 增收
政府 报告
报告 中
报告 提出
中 提出
中 抓好
提出 抓好
采取 措施
加强 基础
基础 促进
促进 稳定
持续 增收
一定 实现
阶段 中国
代表 委员
我国 粮食
我国 连续
粮食 连续
连续 获得
今年 我国
今年 粮食
我国 粮食
我国 增产
粮食 增产
增产 增收
更加 突出
委员 认为
委员 我国
认为 我国
认为 粮食
我国 粮食
我国 需求
粮食 需求
长期 我国
我国 粮食
粮食 需求
需求 增长
保障 供给
粮食 增产
市场 价格
地方 出现
出现 抓
抓 粮食
投入 积极性
增收 国际
国际 造成
发生 困难
企业 农民工
认为 农民工
影响 国际
国际 价格
价格 价格
价格 明显
明显 下降
价格 下降
建立 覆盖
加大 扶持
扶持 力度
扶持 三农问题
力度 三农问题
加强 基础
基础 促进
促进 稳定
持续 增收
持续 代表
增收 代表
增收 委员
代表 委员
政府 报告
报告 中
报告 提出
中 提出
提出 加大
加大 科技
科技 投入
科技 健全
投入 健全
投入 基层
健全 基层
公共服务 机构
机构 认为
实现 我国
现代农业 根本
根本 转变
根本 必须
转变 必须
实现 建议
建议 完善
体系 提高
体系 我国
提高 我国
水平 发挥
水平 科技
发挥 科技
中 支撑
支撑 作用
支撑 应
作用 应
农民工 培训
培训 国家
渠道 农民工
农民工 就业
就业 加大
加大 农民工
农民工 创业
创业 扶持
扶持 农民工
获得 更
困难 时期
困难 各级
时期 各级
时期 政府
各级 政府
政府 增加
增加 种粮
种粮 补贴
种粮 保障
补贴 保障
补贴 粮食
保障 粮食
粮食 安全
安全 提高
安全 农民收入
提高 农民收入
代表 建议
代表 国家
建议 国家
标准 直接
化肥 补贴
补贴 农户
农户 种粮
种粮 土地
土地 实际
实际 实行
实行 种
直接 得到
得到 保障
保障 粮食
保障 种植
粮食 种植
粮食 面积
种植 面积
种粮 增收
增收 积极性
国家 进一步
进一步 加大
技术 工程
技术 加大
工程 加大
工程 投入
加大 投入
投入 我国
我国 地区
直接 解决
直接 粮食
解决 粮食
解决 增产
粮食 增产
增产 增收
有效 保证
本报 北京
突出 现在
现在 主要
主要 方面
增收 增产
产品 直接
经济 提高
收入 比较
提高 增长
提高 扩大
就业 促进
直接 解决
推进 产业化
产业化 提高
实施 龙头企业
基地 农户
农户 新型
新型 产业化
产业化 模式
产业化 发挥
模式 发挥
模式 龙头企业
发挥 龙头企业
龙头企业 带动
产品 相关
相关 产品
农户 企业
企业 组织
企业 起来
组织 起来
组织 进行
起来 进行
进行 规模
最大 保护
利益 解决
利益 农户
解决 农户
解决 销售
农户 销售
农户 难
销售 难
经营 主体
组织 程度
组织 实现
程度 实现
实现 企业
企业 农户
实施 战略
战略 提供
进入 国际
进入 市场
国际 市场
国际 特别
市场 特别
保护 我国
国家 进行
实施 一年
一年 致富
一年 项目
致富 项目
农行 加大
加大 信贷
信贷 支持
信贷 力度
支持 力度
支持 今年
力度 今年
县域 贷款
县域 亿元
贷款 亿元
贷款 农行
亿元 农行
亿元 资金
农行 资金
农行 下乡
资金 下乡
更 有效
有效 满足
满足 信贷
信贷 需求
需求 贷款
化肥 农药
乡 村民
种粮 大户
小麦 玉米
种粮 大户
金融机构 形成
村民 记者
农行 继续
现在 农行
担保 贷款
村民 农行
农行 贷款
满足 需求
不能 解决
不能 提高
提高 农行
农行 业务
调查 情况
情况 万元
要求 现在
积极 研究
积极 风险
研究 风险
办法 了解
了解 今年
了解 农行
今年 农行
农行 继续
继续 支持
县域 贷款
贷款 去年
去年 增加
增加 亿元
亿元 提出
提出 确保
提出 农户
确保 农户
惠农 贷款
贷款 达到
贷款 亿元
达到 亿元
提供 金融服务
惠农 贷款
贷款 满足
满足 农户
农户 信贷
信贷 需求
本报记者 当前
专家 三农问题
干部 开展
开展 专家
科技 支撑
科技 支撑
资金 人才
人才 方面
方面 缺乏
解决 三农问题
加大 投入
投入 投入
科技 创新
创新 带动
技术 中心
认为 应该
应该 科技
科技 创新
抓好 水稻
干部 介绍
介绍 当前
技术 利用
生活 更
生活 健康
更 健康
更 更
健康 更
扩大 领域
领域 国家
国家 产业
产业 经济
经济 技术
技术 经济
解决 三农问题
解决 关键
三农问题 关键
继续 新型
新型 工业
基础 实现
实现 工业
认为 人才
人才 科技
科技 支撑
信息 明确
更 主要
地方 提供
提供 持续
部门 组织
三农问题 进行
中 三农问题
三农问题 专家
加工 环境
方面 专家
统筹 推进
统筹 城乡
推进 城乡
推进 一体化
城乡 一体化
报告 国际
加强 基础
体制 机制
机制 创新
统筹 推进
统筹 城乡
推进 城乡
推进 一体化
城乡 一体化
企业 提出
深化 改革
涉农 部门
政策 技术
粮食 补贴
粮食 方式
补贴 方式
补贴 土地
方式 土地
方式 流转
土地 流转
农民工 创业
农民工 贷款
创业 贷款
创业 难
贷款 难
进一步 发挥
进一步 政府
发挥 政府
发挥 投入
政府 投入
政府 金融
投入 金融
投入 投入
金融 投入
投入 市场
市场 投入
投入 综合
综合 作用
主体 利益
提升 旅游
旅游 水平
水平 专家
推广 粮食
粮食 增收
粮食 作用
增收 作用
体系 重中之重
提出 粮食
提出 增产
粮食 增产
玉米 加大
加大 玉米
推广 进一步
推广 加大
进一步 加大
补贴 面积
面积 标准
种粮 积极性
积极性 实现
积极性 粮食
实现 粮食
粮食 增产
开展 活动
活动 当前
坚持 科学
科学 实现
解决 经济社会
经济社会 面临
开展 专家
专家 活动
难题 提高
提高 水平
专家 报告
高效 利用
建议 应
应 形成
形成 领域
领域 战略
战略 产业
产业 中国
认为 应
研究 开发
开发 规划
规划 内容
产业 战略
产业 规划
规划 利用
资源 环境
连续 中央
中央 一号
中央 文件
一号 文件
强调 农村金融
农村金融 现代
现代 经济
经济 核心
中央 地方
地方 三农问题
三农问题 支持
落实 切实
切实 解决
切实 农村金融
解决 农村金融
解决 中
农村金融 中
农村金融 存在
中 存在
带动 起来
起来 龙头企业
比较 困难
困难 银行
银行 扶持
扶持 企业
企业 起来
加快 产业化
产业化 带动
带动 致富
致富 增加
同志 调研
调研 报告
近年来 福建
福建 农行
支持 方面
方面 进行
探索 开发
金融 产品
产品 取得
农村金融 难题
农行 涉农
农行 贷款
涉农 贷款
涉农 余额
贷款 余额
余额 亿元
增加 亿元
涉农 贷款
涉农 亿元
贷款 亿元
农户 惠农
增加 惠农
达到 亿元
亿元 全省
全省 县域
全省 农户
县域 农户
信贷 需求
今年 福建
福建 农行
福建 累计
农行 累计
农行 发放
累计 发放
累计 惠农
发放 惠农
超过 农户
农户 余额
余额 达到
余额 亿元
达到 亿元
担保 难
福建 农行
农行 结合
农行 龙头企业
农行 农户
龙头企业 农户
龙头企业 农行
农户 农行
农户 信用社
农行 信用社
农行 农户
信用社 农户
信用社 农行
农户 农行
农户 合作社
农行 合作社
新型 保证
新型 担保
保证 担保
担保 贷款
贷款 方式
贷款 农行
方式 农行
模式 创新
创新 龙头企业
龙头企业 基地
组织 农户
农户 有机
龙头企业 银行
农行 领导
试点 推进
推进 深化
深化 推广
推广 阶段
研究 重点
干部 基层
县域 经济
农行 持续
贷款 难
基础 风险
持续 具有
持续 农业银行
具有 农业银行
具有 特色
农业银行 特色
福建 农行
政策 安排
安排 县域
支持 政策
支持 落实
政策 落实
农行 围绕
围绕 金融
体系 方面
方面 改革
改革 推进
配套 体系
人员 提升
提升 水平
水平 农行
贷款 目标
机制 各级
中 人员
加大 人员
人员 力度
力度 农户
达到 福建
福建 农行
改革 需要
农村金融 取得
取得 一定
需要 研究
研究 解决
研究 农村金融
解决 农村金融
解决 基础设施
农村金融 基础设施
基础设施 投入
投入 成本
福建 农行
过程 中
过程 实现
中 实现
增长 农村金融
农村金融 城市
城市 金融
金融 比较
比较 存在
存在 成本
信贷 成本
推广 信贷
信贷 改善
信贷 惠农
改善 惠农
环境 需要
地区 大量
重点 镇
全国 重点
投入 需要
需要 亿元
亿元 全国
全国 乡镇
投入 亿元
农村金融 资源
没有 经济
贷款 难
解决 主要
担保 体系
体系 完善
完善 担保
完善 成本
担保 成本
担保 公司
担保 担保
公司 担保
公司 方式
担保 方式
担保 取得
方式 取得
方式 担保
取得 担保
取得 公司
担保 公司
担保 担保
公司 担保
公司 能力
担保 能力
贷款 企业
企业 经营
企业 成本
经营 成本
担保 公司
企业 获得
企业 资金
获得 资金
资金 综合
综合 成本
成本 达
企业 资金
资金 需求
需求 亿元
亿元 满足
企业 资金
机制 完善
条件 影响
影响 农户
农户 规模
保险 贷款
贷款 没有
没有 保险
没有 保障
保险 保障
保障 银行
银行 农户
农户 贷款
困难 银行
金融机构 基层
市场 加快
保险 建立
建立 政府
政府 农户
农户 银行
银行 保险
保险 主体
农行 正在
农行 全国
正在 全国
正在 范围
全国 范围
全国 农村金融
需要 完善
需要 农村金融
完善 农村金融
完善 配套
农村金融 配套
农村金融 制度
配套 制度
配套 引导
制度 引导
引导 社会
社会 形成
推广 农行
相关 金融机构
经验 福建
农行 实践
农村金融 实现
实现 有机
实现 统一
有机 统一
有机 社会
统一 社会
建议 部门
部门 农行
农行 近年来
经验 原因
原因 具有
全国 范围
推广 政府
金融 政策
面临 一定
政府 必须
政府 建立
必须 建立
必须 扶持
建立 扶持
扶持 金融服务
达到 一定
达到 支农
一定 支农
一定 要求
支农 要求
要求 金融机构
扶持 政策
扶持 建议
政策 建议
县 贷款
贷款 贫困地区
贫困地区 农户
明确 补贴
补贴 机制
机制 内容
内容 提高
内容 补贴
提高 补贴
提高 资金
补贴 资金
涉农 贷款
鼓励 增加
增加 涉农
增加 贷款
涉农 贷款
贷款 实行
监管 政策
农业银行 银行
信用社 农村金融
农村金融 力量
农村金融 进一步
力量 进一步
力量 完善
进一步 完善
完善 金融服务
金融服务 体系
体系 加快
加快 解决
加快 农村金融
解决 农村金融
农村金融 中
中 突出
农业银行 银行
农村金融 业务
优势 县域
力度 形成
形成 金融机构
具有 中国
具有 特色
中国 特色
特色 农村金融
政府 加快
担保 机制
担保 建议
机制 建议
建议 条件
条件 地区
地区 建立
建立 政府
贷款 担保
贷款 中心
担保 中心
中心 担保
担保 公司
担保 带动
公司 带动
带动 担保
担保 机构
扩大 有效
范围 保护
范围 担保
保护 担保
加快 保险
保险 体系
体系 建立
应 加强
加强 保险
形式 保障
保障 保险
建议 开发
保险 品种
保险 扩大
保险 范围
保险 增加
范围 增加
范围 补贴
增加 补贴
增加 品种
补贴 品种
品种 完善
风险 转移
转移 机制
机制 探索
机制 建立
探索 建立
探索 中央
建立 中央
建立 地方
中央 地方
中央 财政
地方 财政
地方 支持
财政 支持
统筹 城乡
统筹 经济社会
城乡 经济社会
生活 条件
生活 增加
条件 增加
条件 农民收入
增加 农民收入
农民收入 重点
重点 强化
加快 社会主义
目标 积极
目标 推动
积极 推动
推动 新型
新型 经营
供销 合作社
合作社 作用
经营 领域
领域 完善
完善 市场
市场 体系
方面 做
现代 流通
全市 范围
流通 市场
市场 供销
供销 合作社
流通 市场
完善 组织
组织 体系
市场 流通
流通 人才
人才 优势
供销 合作社
现代 流通
流通 市场
全市 供销
全市 合作社
供销 合作社
供销 系统
合作社 系统
亿元 乡镇
引导 供销
引导 合作社
供销 合作社
选择 人口
经济 水平
中心 村
方式 供销
供销 合作社
供销 投资
合作社 投资
农资 经营
整合 涉农
涉农 部门
打造 生活
全市 供销
全市 合作社
供销 合作社
供销 系统
合作社 系统
系统 建立
建立 完善
完善 经营
供销 合作社
专业 合作社
专业 专业
合作社 专业
专业 加快
加快 全市
专业 合作
专业 组织
合作 组织
供销 合作社
合作社 专业
专业 合作社
品牌 目标
核心 积极
核心 构建
积极 构建
加工 销售
经营 有效
有效 整合
整合 资源
供销 合作社
合作社 取得
方面 明确
网络 平台
平台 核心
供销 合作社
合作社 指导
指导 部门
供销 精神
精神 供销
供销 事业
供销 合作社
供销 精神
精神 这种
这种 精神
供销 合作社
供销 突破
合作社 突破
合作社 经济
突破 经济
全国 推广
委员 国务院
会议 强调
强调 深入
深入 科学
优势 积极
加快 做
做 做
保持 经济
功能 农资
形成 产品
标准 经营
经营 统一
经营 模式
经营 政府
模式 政府
监管 模式
战略 模式
支持 社会主义
经验 指出
指出 地区
地区 部门
成为 我国
推进 基础
基础 网络
网络 继续
继续 加大
继续 投入
加大 投入
加大 提升
投入 提升
提升 能力
能力 提高
水平 进一步
进一步 深化
深化 改革
改革 坚持
坚持 转变
坚持 企业
转变 企业
领域 做
做 做
质量 创新
质量 管理
创新 管理
创新 方式
管理 方式
方式 增强
增强 企业
提供 安全
组织 领导
制定 完善
完善 各项
完善 配套
各项 配套
各项 政策
配套 政策
配套 加强
政策 加强
指导 推进
中心 村级
国务院 部门
建立 比较
品种 体系
能力 水平
市场 中国
品种 结构
结构 市场
市场 功能
市场 发挥
功能 发挥
能力 增强
增强 近年来
品种 建成
主要 品种
品种 完善
品种 体系
继续 研究
研究 涉农
涉农 品种
涉农 进一步
品种 进一步
记者 近年来
增强 市场
价格 成为
成为 关注
关注 我国
我国 市场
成为 小麦
领域 主要
平台 系统
国家 地方
地方 政府
政府 机构
经营 过程
经营 中
过程 中
比较 认为
政府 涉农
政府 企业
涉农 企业
关系 收益
调整 种植
种植 安排
安排 种植
安排 面积
种植 面积
种植 优质
优质 小麦
缺乏 有效
有效 价格
优质 小麦
小麦 推广
推动 作用
时期 指导
精神 更加
精神 重视
更加 重视
利用 指出
引导 稳定
稳定 市场
市场 风险
风险 功能
提出 更
解决 我国
解决 三农问题
我国 三农问题
我国 过程
三农问题 过程
三农问题 中
过程 中
发挥 积极
发挥 作用
积极 作用
作用 现实
现实 中
中 存在
利用 更
更 有效
需要 努力
努力 近年来
努力 我国
近年来 我国
近年来 各地
我国 各地
带动 关键
我国 专业
专业 比较
认为 各级
认为 政府
各级 政府
各级 应
政府 应
有效 措施
措施 培育
政府 加强
支持 培育
培育 培育
培育 龙头企业
龙头企业 引导
龙头企业 企业
引导 企业
引导 参与
企业 参与
价格 能力
品种 市场
政策 方面
政策 引导
方面 引导
方面 机构
引导 机构
机构 参与
更 市场
需要 加强
加强 教育
教育 风险
帮助 涉农
帮助 企业
涉农 企业
努力 满足
努力 企业
满足 企业
需要 企业
成本 提高
成本 企业
提高 企业
中国 研究
研究 中心
中心 历史
时代 中国
中国 社会
社会 国际
围绕 研究
研究 时代
时代 中国
中国 社会
历史 阶段
过程 时代
时代 中国
中国 社会
中国 历史
社会 历史
历史 过程
过程 中
历史 时代
现实 社会
社会 当前
当前 三农问题
三农问题 成为
成为 全面
全面 小康社会
小康社会 构建
小康社会 社会主义
构建 社会主义
时代 历史
研究 时代
时代 中国
中国 社会
中国 历史
解决 当前
当前 三农问题
三农问题 提供
三农问题 理论
提供 理论
提供 支撑
理论 支撑
支撑 认为
认为 研究
研究 时代
时代 中国
中国 社会
近年来 经济社会
要求 历史
重大 历史
土地 承包
粮食 家庭
记者 记者
没有 粮食
种 蔬菜
搞 规模
加工 产品
成为 历史
种粮 补贴
各级 财政
扶持 资金
万元 村
支持 万元
工程 万元
工程 扶贫
万元 扶贫
扶贫 万元
万元 土地
土地 万元
万元 记者
公共服务 项目
难 县
县 领导
进行 教育
更加 关注
报告 没有
现在 群众
得到 群众
解决 三农问题
三农问题 做好
做好 价格
当前 我国
我国 经济
增收 保证
保证 经济
价格 部门
价格 深入
部门 深入
深入 科学
开展 调研
调研 基础
取得 一定
能力 主要
主要 原因
原因 实行
范围 比较
比较 价格
完善 价格
发挥 比较
发挥 优势
比较 优势
价格 机制
机制 需要
机制 健全
需要 健全
需要 完善
健全 完善
价格 引导
引导 种植
种植 养殖
养殖 作用
作用 价格
作用 价格
全省 用于
全省 惠农
用于 惠农
用于 支农
惠农 支农
农村土地 流转
农村土地 中
流转 中
中 价格
价格 管理
农村土地 流转
农村土地 中
流转 中
价格 机制
机制 完善
完善 过程
突出 土地
土地 价格
农村土地 流转
农村土地 中
流转 中
中 价格
探索 解决
探索 涉农
解决 涉农
解决 价格
涉农 价格
涉农 监管
价格 监管
市场 价格
市场 监管
价格 监管
基层 机构
机构 力量
机构 不足
力量 不足
