,author,date,para,title_first,title_second
335,戴岚,2007-07-29,　　本报乌鲁木齐７月２８日电   （记者戴岚）在天山南北，活跃着一支由汉族、维吾尔族和哈萨克族１２名队员组成的新疆科协少数民族科普工作队。成立２０多年来，这支工作队穿沙漠、走戈壁、过草原，把科技和文化播撒到数百万各族农牧民群众中。尤其在最近５年里，他们以服务“三农”为宗旨，走遍了新疆所有地州和县市，总行程５万多公里，直接受益者达７０余万人次。　　科普队根据各地州不同的产业结构和实用技术需求，每年都要选编和印制汉、维吾尔、哈萨克、蒙文等科普宣传品１０万余册 内容涉及农作物、优质牧草、蔬菜瓜果的栽培，畜禽饲养与疾病防治等。科普队还自编了维吾尔、哈萨克和蒙文的系列科普挂图、科技影视片，让农牧民更直观地接受和掌握科技实用技术。　　尉犁县塔里木乡的维吾尔族村民玉素甫江，去年７月搞起了大棚种植，由于缺乏经验，他在大棚里种的胡萝卜总也长不好。正当他一筹莫展之际，“科普大篷车下乡万里行”来到塔里木乡，科普队队员买买提·布力布察看后发现，大棚在湿度、通风和供暖方面存在问题，及时提出了解决的办法。　　新疆各民族节日文化丰富，如维吾尔族的“巴扎”、哈萨克族的“阿肯弹唱会”、蒙古族的“那达慕”等。科普队的“科普大篷车”，利用这些民族传统节日和集会，为广大农牧民开展科技咨询服务。在阿勒泰市郊夏牧场，科普队曾举行了一场“阿肯科普弹唱会”，把养殖和医疗保健等知识翻译成哈萨克文字，通过弹唱的方式向当地５００多位农牧民进行传播。此举得到了联合国教科文组织官员的高度赞扬。　　新疆少数民族科普队先后与中科院新疆生地所、新疆康复医学会、民族医学会、新疆医科大学李嘉诚基金会等合作，开展了“塔里木河生态科普千里巡”、“医疗卫生科普宣传服务”、“溢达少年环保科普万里行”、“科学发展观大型巡展”等活动，搭建起了社会化科普服务的平台。这些举措，得到农牧民的广泛好评。科普队也由此先后获得“全国科普工作先进集体”、“全国文化科技卫生‘三下乡’活动先进集体”等荣誉称号。,新疆少数民族科普队热心服务“三农”（科学发展　共建和谐）,５年行程５万公里  受益群众７０万人次
334,张毅,2007-08-05,　　开栏的话　　在社会主义新农村建设中，一大批企业家心系农村，充分发挥资本、市场和信息优势，投身农村和农业，带动农民走向富裕，成为新农村建设的生力军。我们开辟“企业家与新农村”栏目，报道好的典型和经验，希望更多的企业家参与新农村建设，在新农村建设中发现新机遇，得到大发展。　　猪羊成群、鱼虾满塘、鸡鸭欢腾、桃红柳绿，泛舟水上，顺手就可摘粒葡萄放到嘴里……提起他当年搞的立体农业，６０岁的鲁冠球高兴得像个天真的孩子。　　鲁冠球，这位看惯了钱塘江潮水的农民企业家，总能勇立潮头，与时俱进。他所率领的万向集团，打造了中国最大的汽车零部件生产基地，驰骋国际市场，如鱼得水。几十年来，他一直梦想着，中国农业一样能够纵横四海，收获幸福。　　２０年屡败屡战，反哺农业，不是造“盆景”　　“桃花源”衰败了。地处浙江杭州郊区的８００亩农业基地，只３０万元的年租，就打发出去了。　　整齐的石桥、护城河、鸡舍、鱼塘，当年赶着猪儿出栏、过磅、上坡、走进运输车辆的专用通道还在呢。即便２０年后的今天，这些农业设施也是先进的。这片土地倾注了鲁冠球多少美好的期盼呀，因此他起了名字——“桃花源”。　　“那时候，鲁主席有空就到这里来，路上有株杂草都要亲手拔掉！”上世纪８０年代，万向从企业积累里拿出几百万元投到钱塘江畔这片荒芜的围垦地里，可是动真格儿的。　　鲁冠球建立的，是一个“农业工厂”，在这里干活的都是工人，像工厂里一样上班、下班，有节假日；在这个车间里，饲料喂鸡鸭，鸡鸭粪喂猪，猪粪养鱼，塘泥肥果树……　　起初几年，“农业工厂”为城市菜篮子作了大贡献。紧接着，问题却来了：万头猪场按存栏规划，结果出栏２５０００头，猪浩浩荡荡往外运，就是不出效益；鸡粪、猪粪多了，鱼虾缺氧，翻了塘；防止螃蟹逃跑，塘壁四周围上玻璃，这些家伙却从塘底钻洞扬长而去……过后看，那是一场“跃进”，工人不懂技术，经营者不熟悉市场，“农业工厂”运转不灵，慢慢萎缩了。　　８０年代末９０年代初，不服输的鲁冠球又瞄准了创汇农业。养鳗鱼、养珍珠、养蛇，每投入一个项目，都是认认真真、像模像样。尤其是鳗鱼工厂，一些国家元首来参观，都竖大拇指。工厂从鳗苗、养鳗、烤鳗、出口，每个环节都是高标准的。势头正好的时候，亚洲金融风暴把他们的梦想打得稀巴烂，国外市场一落千丈，万向的鳗鱼产业亏损一两个亿。“当时只能牙掉了往肚子里咽，否则，谁还敢跟鲁冠球打交道？”这场灾难险些殃及万向集团的整体发展。　　屡战屡败，鲁冠球一拍脑门：反哺农业，搞农业项目，不是造“盆景”，而要遵循市场法则，科学实施。改革开放后，千万家农户、大大小小的企业都在搞养殖，农业车间还搞同样的初级产品，只是规模更大些，设施更漂亮些，成本更高些，竞争优势在哪里呢？　　２１世纪，与４０万农民握手，万向农业军团全线胜利　　当初建“桃花源”，鲁冠球就有一个更大的计划：把周边５０００亩海涂全拿下来，建一个种、养、加一条龙的“托拉斯”。这个计划在钱塘江畔搁浅了，如今却在大江南北变成了更加蓬勃的现实。　　临安市地处浙皖交界的天目山区，盛产山核桃。２０００年，万向在清凉峰镇组建了人长久食品公司，加工山核桃，发展２万亩种植基地，覆盖周边４个乡镇的１９个村。阳川村的老支书洪声荣说，山核桃好吃，树难栽、果难摘，村民不敢往里投钱。万向来了以后，犹如“定海神针”，拓宽了销售渠道，价格透明，再也没小商小贩随口压价了。去年，１斤山核桃卖十六七元。目前，人长久公司成为行业内规模最大的龙头企业，带动当地６０００多农户共同致富。　　搞山核桃，是鲁冠球转变农业经营思路的一次尝试。他走出“桃花源”，与广大农民握手，“车间”建到了千万个农户的田地里。万向有资金，集中精力抓技术和市场，农户有土地和劳力，专心致志搞生产，多好的结合！龙头昂起，就能调动各种社会力量，为农民办更多实事。　　２００３年，开全国人代会期间，鲁冠球看到《人民日报》上的一条消息：江西鄱阳县小龙虾泛滥成灾，危害水稻生产。鲁冠球马上给渔业公司拨通电话：小龙虾加工市场前景怎样？马上论证。第二年，万向的小龙虾加工项目在鄱阳县建成投产，产品畅销欧美市场。小龙虾变害为宝，鄱阳县因此实现了农产品出口零的突破。现在，县里对小龙虾捕捉加强管理，每年６月２０日开湖，全国各地的客商云集而来，小龙虾迅速成为农民致富的大产业。地方政府和群众真拿万向当成了“宝”。　　短短几年间，万向集团组建了万向三农集团，大踏步控股参股万向德农、承德露露、兔宝宝等３家上市公司，并购了浙江远洋渔业集团等大型农业龙头企业。两年时间，万向注资远洋渔业集团８亿元，组建先进的船队，带领近海几千渔民奔赴印度洋、太平洋、大西洋，开辟远洋捕捞基地。　　有心插柳终成荫。目前，万向集团拥有农业总资产５０多亿元，员工９０００多人，直接带动４０多万农民就业，受益农民近３００万人。鲁冠球肯定地说，人们对食品的要求只会越来越高，而农业资源是有限的，因此，现代农业中蕴藏着巨大商机。　　建设新农村，乡镇企业无疑是一支生力军，但好政策是后盾　　总结３８年创业人生，鲁冠球说自己干了三件事：一是企业快速成长，成为改革开放的发展典型；二是从田野走向世界，成功组建了跨国集团；三是从世界飞回田野，用工业赚来的钱反哺农业。　　商战中精明的鲁冠球，参与三农事业却很慷慨：　　１９８４年，鲁冠球把当年承包所得的１０万元，捐给当地小学改造校舍。此后２０多年间，万向集团投入１５００万元援建了浙江遂昌、苍南和重庆酉阳等西部山区１３所中小学校改善教育设施。多年来，万向资助地方铺桥修路、兴修水利，一直和地方保持着和谐的地缘关系。　　现在，鲁冠球又有了新的思考：工厂里来自全国各地的“农村知青”，已经改变了祖祖辈辈的生活轨迹。那么，一茬一茬返乡青年中，又有多少人搞农业呢？农民素质不普遍提高，现代农业谁来搞？　　于是，鲁冠球向浙江农业技术推广基金会捐赠１０００万元；同时向浙江省农村青年发展基金捐款１０００万元，用于扶持欠发达县开展农村青年素质培训，奖励扶持欠发达地区青年创业。在杭州农校的基础上，创办万向职业技术学院，培养农家子弟。并出资７０００万元，与香港理工大学合作，为社会培养应用型人才。　　到目前为止，鲁冠球和万向三农集团捐赠社会慈善公益事业，累计超过１亿元。　　“农民富不起来，中国只是个大国，而不是强国”，鲁冠球坐在沙发里，激动地打着手势，“谁最了解农民，谁就能让中国富强起来！８０年代初，中央连续发出５个１号文件，农村面貌日新月异。时隔１８年，又连续发出４个１号文件，这是农民之幸、民族之幸！”　　建设新农村，乡镇企业无疑是一支生力军，但这离不开好的发展环境。鲁冠球坦言，如果没有中央的强农惠农政策，农民没有积极性，没有产业基础，他就下不了这么大决心。否则，即使投入重兵，也是孤军奋战、孤掌难鸣。　　阅历是笔宝贵的财富。鲁冠球感慨，农民真的很苦啊。五六十年代，钱塘江涨潮，农民到处躲，退潮了，再抢着种点田。那时候饿肚子，掏坟地里的乌龟，边烧火熏蚊子，边烤着吃。当初从集资４０００元的铁匠铺起家，到今天总资产２００亿元，万向离不开农村人、财、物和土地的全方位支持。因此，他教育一代又一代员工，吃水不忘挖井人，万向决不能忘记农民。　　（本报记者  张  毅）,鲁冠球的三农梦（企业家与新农村）,３８年来，他从田野走向世界，又从世界飞回田野，用工业赚来的钱发展农业
333,石元春,2007-08-17,　　关键词：“三农”　　农业是一个特殊产业，兼有自然和市场的双重风险，生产很不稳定，且与工业和服务业间的比较效益又很低。　　但同时，农业又是从事着社会最必须和最基础产品生产的产业，民以食为天，如果市场上买不到肉、买不到菜了，后果不堪设想。　　正因如此，即使在美国、欧盟等发达国家，仍然把农业放在国家战略高度来考虑。　　中国的“三农”之困，困在两个问题上。一个是工业化和城镇化需要大量资金，先行工业化国家的原始资本积累大量来自掠夺，而我国主要靠农业的积累。过去几十年里，农业以其大量积累支持了国家工业化和城镇化建设，而自身却“营养不良”和“积劳成疾”。　　如果不大幅度减赋和增加“反哺”资金，真正做到“多予少取”，使“三农”休养生息，要想解困“三农”，以及建设现代农业和社会主义新农村，都是不切实际的。　　第二个问题是困在农业增长乏力上。农业生产要素中，土水资源短缺，劳力过剩与素质不高，新增资本又如“杯水车薪”，唯“第四”生产要素——“经营”有可能作为改变全局的突破口。　　因此，解困“三农”，还可向农产品加工方向延伸和开辟以生产生物质能源为目的“能源农业”第三战场，以工业“激活”农业，以下游加工促进上游生产，在全国开展一次以基础农业、加工农业和能源农业构成的，农工融合的现代农业的产业结构革命。这也给“以工哺农”和“以城哺乡”提供了一个载体和长效机制。　　——来源：日前举行的中国科学家论坛　　档案　　石元春：土壤学专家，中国科学院院士。　　更多“感言”尽在人民网经济频道（ｈｔｔｐ：／／ｆｉｎａｎｃｅ．ｐｅｏｐｌｅ．ｃｏｍ．ｃｎ）　　栏目联系方式：ｒｍｒｂｊｊ＠ｐｅｏｐｌｅ．ｃｏｍ．ｃｎ,解困“三农”，路在何方（感言）,
332,余荣华,2007-08-23,　　本报福州８月２２日电  （记者余荣华）最近一个月，福建持续高温天气，９６９１５５农业服务热线上，有关高温气候引起的病虫害防治的咨询一下子多了起来。自２００１年开通以来，福建全省统一的为农服务９６９１５５热线，受理来电咨询１５３．６万人次，为农民减轻负担和减少损失累计超过１２亿元。农民称赞说：“金线、银线，不如１５５热线！”　　前些年，福建省各级农业部门相继建立了“农技１１０”、“农业１８８”、“农家１５５”等电话服务热线，为农民群众提供直接的科技服务。２００１年６月，福建省农业厅将各地的服务热线号码统一为９６９１５５，在省、市、县三级设立热线工作平台。“农民要服务，请拨９６９１５５”这句话，很快在八闽大地的农民群众中传开。　　秉承“有问必答、有求必应、有难必帮、有诉必查”的宗旨，９６９１５５热线不断进行形式和内容创新。如今，热线既开展电话咨询、接受伪劣农资举报、现场技术指导等服务，也送科技下乡、赠技术资料、举办技术培训。热线提供的信息范围从单纯的农情、苗情、灾情、实用科技信息，逐步拓展到农技推广、市场需求、政策法规、就业信息等领域。９６９１５５热线真正成了福建的“三农百事通”，帮助农民解决了大量农业生产难题。　　９６９１５５热线拓展了网络服务渠道，福建全省已有超过九成的县（市、区）开通９６９１５５网站。农民们都说“有了１５５热线，今年心里就有了底。”热线开通以来，已累计为全省农民增加经济效益１１亿元。,９６９１５５热线成为“三农百事通”,福建
331,本报评论员,2007-08-24,　　中国农村正发生着深刻的变革和崭新的变化。农业生产方式向现代化迈进，农民生活不断改善，农村经济社会欣欣向荣。党中央建设社会主义新农村的重大战略部署，正在成为亿万农民的自觉行动，成为广阔原野上新的希望。　　党的十六大以来，党中央从改革开放和社会主义现代化建设的全局出发，着眼全面建设小康社会的目标，贯彻落实科学发展观，提出统筹城乡发展的理念，确立了城市支持农村、工业反哺农业的方针，始终把“三农”工作放在全党全国工作的首位，不断加大支农惠农力度，农业基础地位在宏观调控中得到巩固和加强。近年来，中央连续发出４个１号文件，着力发展粮食生产，促进农民增收，提高农业综合生产能力，发展现代农业，开创了“三农”工作的新局面。　　真情暖民心。“多予少取放活”是贯穿中央“三农”工作的一条红线。２００４年出台的一系列支农惠农政策，逐年得到加强和完善，反哺“三农”，真金白银，农民得到的实惠不折不扣。目前，农民不仅彻底告别了农牧业税，还享受种粮补贴、良种补贴，以及购置农机具、农业生产资料综合补贴等。补贴条目逐年增多，补贴力度逐年加大。与此同时，农村综合改革、农村金融改革、农产品流通体制改革不断深入和细化，集体林权制度改革全面推开。　　好政策调动了亿万农民的积极性。近年来，农村经济保持良好发展势头，粮食生产创造了连续三年增产、夏粮连续四年增产的历史性好局面。农业各行业平稳发展，为经济社会又好又快发展提供了有力支撑。农民收入连续三年增幅超过６％，预计２００７年上半年农民人均现金收入同比实际增长１３．３％，增速同比高１．４个百分点，为１９９５年以来同期增长最快。　　农村各项社会事业得到全面推进。国家对农村义务教育实行“两免一补”政策，新型农村合作医疗制度试点覆盖全国半数以上农村，在全国范围内建立农村最低生活保障制度，越来越多的农民获得更多的培训机会。农村环境日益改善。农村沼气进入加快普及阶段，到２００６年底，全国农村户用沼气达到２２６０万户左右。家居取暖清洁化，资源利用节约化，农业生产无害化，农家小院更加亮丽。　　“生产发展、生活宽裕、乡风文明、村容整洁、管理民主”，围绕这个目标，社会主义新农村建设开局良好。更可喜的是，在建设社会主义新农村实践中，一代社会主义新农民茁壮成长。他们正在告别落后、封闭、贫穷，奔向进步、文明、富裕，以自己的汗水和智慧创造着更加美好的新生活，书写着中国农民历史的新篇章。建设社会主义新农村，带给亿万农民以最大最多的实惠，将亿万农民的心，紧紧凝聚在中国特色社会主义的旗帜下。　　由于我国农村人口多，农业基础薄弱，发展长期落后，建设新农村必然是一项长期而艰巨的任务，“三农”发展中许多薄弱环节有待进一步加强，城市支持农村、工业反哺农业的长效机制有待进一步建立和完善。我们一定要倍加珍惜“三农”工作来之不易的好局面，更加自觉地用科学发展观指导“三农”工作的实践，切实担负起历史重任。　　中国农村的改革，推动了中国的改革开放；社会主义新农村建设的蓬勃发展，必将开创中国社会主义现代化建设的新局面。　　（本报评论员）,加强“三农”工作，建设社会主义新农村,——三谈认清形势 振奋精神
330,赫敏,2007-08-24,　　亚洲农村社会学会、中国农村社会学研究会等单位共同主办的“第三届亚洲农村社会学大会”近日在河北省三河市举行。与会的专家学者围绕“全球化、国际竞争背景下的城市化对农村、农业和农民生计的影响”这一主题，就亚洲农村经济发展、农村家庭变迁、农民的经济地位与权益保障等议题进行了研讨。与会者指出，如何在经济全球化的趋势下保持城乡协调发展和保证人类安全，是我们必须认真思考和解决的一个重大现实问题。中国自改革开放以来，经济社会发展取得了巨大成就，但中国依然是一个农业大国，还需要在缩小城乡差距、增加农民收入、保障农民工合法权益、发展农村社会事业等方面采取更加有力的措施。应按照社会主义市场经济体制的要求，改变城乡二元经济社会结构，逐步解决好农业、农村和农民问题，实现城乡协调发展。　　（赫  敏）,深入研究城市化过程中的“三农”问题（学术信息）,“第三届亚洲农村社会学大会”提出——
329,马世和,2007-09-05,本报电  （马世和）近年来，江苏省铜山县人事局以“智力下乡，助民致富”为切入点，组织百名农业专家，深入农村田间地头，为农民送上致富信息和技术，帮农民解决难题增效益，积极探索并初步形成了依靠智力服务“三农”、助民增收的有效机制。　　由县人事局会同县农业局、林业局等涉农部门组织成立的百名专家演讲团，共100多名中、高级农艺师、经济师纷纷深入田间地头，与农民交流信息，给农民讲授知识，帮农民破解难题，助农民增收增效。同时，县人事局还与电视台联手开设了专家讲座，据统计，每期讲座的收视率都在30万人次左右。此外，他们还将每次讲座的内容印订成册，与专家通讯录一并免费送到农户手中，使百名专家随时与农户取得联系。　　百名专家下乡，加快培养了一批农业“土专家”，发展了一批农村科技示范户。据统计，去年以来，新培养的全县农村400多个土专家，先后为广大农民解决165个生产难题。目前全县已有30多名专家与40多个行政村近200个专业户，建立起了挂钩扶持制度。,江苏铜山百名专家服务“三农”到一线,
328,张毅,2007-10-14,　　本报北京10月13日电  （记者张毅）今天开幕的第五届中国国际农产品交易会上，洋溢着丰收的喜悦。随着中央支农力度不断加大，社会主义新农村建设稳步推进，我国“三农”发展步入历史最好时期：农业连年丰收，农民连年增收，农村经济社会发展生机勃勃。　　今年上半年，全国农民人均现金收入2111元，同比增长13.3%，为1995年以来最快。农民收入增幅连续3年超过6%。与此同时，农业生产结构不断优化，棉、糖、油、果等高效经济作物稳定发展，畜牧业、渔业发展速度明显加快。　　2004年以来的连续4个中央1号文件，让9亿农民吃了定心丸。中央财政实际用于“三农”的各项支出逐年增加，今年达到了3917亿元。农业和农村发展基础不断得到加强，社会主义新农村建设各项事业取得新的突破：　　——农业产业化取得新进展，农民专业合作组织蓬勃发展，促进了一村一品的发展格局。到2006年底，全国各类农业产业化组织总数达154842个，带动农户9098万户。各类产业化组织带动种植业生产基地13亿亩，带动养殖水面9570万亩，带动牲畜饲养量14.6亿头。全国农民专业合作经济组织有15万多个。　　——农产品质量安全水平不断提高。现代农业的标准化生产理念逐步深入人心，目前已建立国家和省级农业标准化示范区4139个，标准化示范带动面积达5亿多亩，优质品牌农产品市场占有率稳步提高。　　——农民进城务工环境不断得到改善，农村劳动力外出收入持续增加。2006年，外出就业农村劳动力月平均工资水平为958元，比上年增加103元，增长12.1%，增幅比上年提高约6个百分点。　　——截至今年6月底，全国7.2亿农民参加新型农村合作医疗，农民“看病难、吃药贵”问题将逐步得到缓解；农村最低生活保障制度已经覆盖2068万人；义务教育“两免一补”，今年将使1.5亿农村中小学生家庭减负。,我国“三农”发展步入历史最好时期（喜迎十七大·科学发展　促进和谐）,粮食连年增产 农民连年增收 农村全面发展
327,李成贵,2007-10-15,中国社会科学院农村发展所研究员　李成贵　　作为一位出生于农村、又长期研究农村问题的学者，我感受最深的是，改革开放29年来，我国农村发生了巨大变化。回首这29年，改革初期的景象令人难忘，近5年的变化同样值得称道。可以说，近5年是农村改革和发展的又一个黄金时期。　　5年来，中央高度重视“三农”问题，把“三农”工作作为全党工作的重中之重，连续发布了4个“1号文件”，还启动了社会主义新农村建设的宏大工程。党和国家一系列支农惠农的政策措施，给农民带来的都是看得见的实惠，充分体现了善政养民的特点。今天农村形势喜人，这是一个人们可以普遍观察到和共同认可的基本事实。　　“开轩面场圃，把酒话桑麻”。我国农民一向务实而笃行，渴望通过辛勤的劳动过上幸福的生活。我由衷地希望中央的支农惠农政策能够进一步深化，让勤劳质朴的农民兄弟在城乡统筹的大道上过上越来越美好的生活。,“三农”发展黄金时期（专家说变化）,
326,,2007-11-30,　　本报北京11月29日电  中国农业银行行长项俊波表示，面向“三农”作为农业银行改革的首要原则，既是农业银行的责任所在，也是农业银行的使命所在。　　项俊波说，要实现农业发展、农村繁荣和农民增收的目标，离不开金融的大力支持，由此需要加快建立健全适应“三农”特点的多层次、广覆盖、可持续的农村金融体系，充分发挥商业性金融、政策性金融、合作性金融和其他金融组织的作用。农业银行作为一家几乎在所有县（市）都设有分支机构的大型国有商业银行，作为一家长期服务“三农”并在服务“三农”领域积累了丰富经验的全国性大银行，在当前推进社会主义新农村建设的新形势下，更有必要、有责任担当起服务“三农”的责任，发挥好在农村金融体系的主渠道和骨干作用。　　他认为，随着城乡联系日益密切和农民收入的增加，农村的金融需求将迅速增长，农村金融服务的内涵将日益丰富。在这种形势下，如果农业银行能够抓住机遇，创新服务模式，不断提高金融服务水平，成为新型农村金融产品的设计者、推广者和县域优质金融服务的提供者，立足“三农”、服务“三农”的市场定位，将会成为农业银行的一种比较优势和先发优势，成为一个很好的发展机会。　　项俊波表示，农业银行在服务“三农”方面曾经历过一些曲折，付出过一定代价。目前在推进股份制改革过程中，农业银行正全力构建服务“三农”的长效保障机制。农行将从战略规划、决策权限、决策流程等方面提高服务“三农”的效率，以适应大银行服务好“三农”小客户需要门槛低、流程短、环节少、反应快的特点。　　农行将研究开发适应“三农”需要的产品和风险管理体系，成立专门的“三农”产品研究和开发团队，细分“三农”市场，推出适应“三农”不同客户群体需要的产品，并针对不同的产品辅之以不同的风险管理制度；研究创新面向“三农”的营销和客户服务模式，以符合农村金融市场的特点和农民的需要；将加强员工培训，建立一支熟悉“三农”业务的专业人才队伍；研究建立面向“三农”金融服务业务的国家政策扶持体系，以适应现阶段农村地区经济发展滞后，“三农”金融业务经营成本相对高、风险大、收益率低的现实。,面向“三农”是农行的历史使命,中国农业银行行长项俊波表示
325,李铁,2007-12-02,国家发改委小城镇改革发展中心  李  铁　　小城镇是我国农村经济发展的龙头，是中国经济中最有活力的组成部分之一，是转移农村剩余劳动力的重要途径。发展小城镇对于推进社会主义新农村建设，全面建设小康社会具有重要意义。　　近年来，我国小城镇数量不断增多，规模不断扩大，对推进我国城镇化进程发挥积极作用。在城市群中，小城镇已成为连接大中城市的重要载体，在长三角、珠三角，星罗棋布的小城镇把各中心城市连成一片。　　尽管如此，我国小城镇仍普遍规模较小，产业水平较低，区域发展不平衡，特别是中西部小城镇发展明显滞后。要促进小城镇健康发展，必须加强经济社会发展规划对小城镇发展的指导；通过规划，确定符合当地经济发展水平和公共资源能力的发展目标，合理安排政府公共资源，在工业发展的基础上，及时调整产业结构，加大第三产业的发展比重，特别是要提高城区的密集程度。进一步促进政府和市场的合理分工，营造适宜投资环境，实现多元化发展主体。　　小城镇建设应坚持“以人为本”原则。小城镇的发展要以提高城乡居民就业和生活状况为目标，重点解决小城镇辖区内城镇低收入者、农业人口及外来务工人员等弱势人口的生活和就业问题。发挥小城镇连接城乡的纽带作用，通过小城镇加强公共基础设施对农村的服务，改善农村生活环境，带动农村社会事业发展。在小城镇建设中避免高标准、高投入的大马路、大广场等形象工程和景观工程的建设，要以方便和改善小城镇居民生活、扩大就业、促进人口集聚为根本出发点，让小城镇居民享受更多发展所带来的成果。　　小城镇建设要落实“全面协调可持续”的基本要求。小城镇在发展中要建立人与自然相协调的机制，避免城镇发展所带来的环境污染、生态破坏的现象。严格限制高污染企业的建立，特别是在经济发展水平低、环境承载能力差的中西部地区小城镇。要节约利用和保护耕地，最大限度地发挥土地效应。通过小城镇带动农村地区公共卫生环境的改善。深入贯彻落实国务院关于节能减排的政策，促进小城镇企业产业结构调整，使用清洁能源，实现节能降耗。　　小城镇建设还要促进城乡统筹，立足于服务和带动“三农”，小城镇政府在分配公共资源时，要兼顾城乡，避免发展过程中重城轻乡倾向，要将小城镇发展与农村和农民发展紧密结合在一起。重视小城镇区域内外来人口的生活居住、医疗卫生、劳动保障、工资拖欠、子女教育等问题的解决。在城市建设中，要降低企业和农民进入小城镇的门槛，促进农村劳动力以较低的成本进镇投资经商和就业定居。,小城镇建设要立足“三农”,
324,黄庆畅;石国胜,2007-12-27,本报北京12月26日电　（记者黄庆畅、石国胜）今天，农业部部长孙政才受国务院委托，向十届全国人大常委会报告推进社会主义新农村建设的有关情况。据了解，2007年，中央用于“三农”的资金达4318亿元。　　孙政才在报告中说，2005年10月，党的十六届五中全会作出了建设社会主义新农村的重大战略决策。2006年、2007年，中央分别以1号文件下发了《关于推进社会主义新农村建设的若干意见》、《关于积极发展现代农业扎实推进社会主义新农村建设的若干意见》。今年以来，社会主义新农村建设各项工作取得新进展。　　报告中的新进展主要体现为：农业农村经济稳定发展，粮食等主要农产品供给充足。今年预计全年粮食总产超过1万亿斤，实现连续4年增产，单产连续４年创历史新高。棉花总产首次突破700万吨，糖料、蔬菜、水果产量再创历史最高水平。农民收入保持连续4年较快增长，增收渠道进一步拓宽。预计全年农民人均纯收入将达到4000元以上，实现连续4年增幅超过6%。农业科技创新和应用步伐加快，农村基础设施建设加强。预计可解决3152万农村人口的饮水安全问题，建设乡村清洁工程示范村1000多个，全国耕种收综合机械化水平达到41%。重大动物疫病防控体系建设取得重大进展。耕地保护和建设力度加大，土地开发整理总规模1170万亩，新增耕地105万亩。农村教育、卫生、文化事业加快发展，1.5亿中小学生的家庭经济负担得到减轻，新型农村合作医疗覆盖2448个县（市、区），占全国总县数的86%，参加新型农村合作医疗的人口达到7.3亿。　　在肯定成绩的同时，报告也分析说，农业基础薄弱、农村发展滞后的局面并没有根本改变，农业稳定发展和农民持续增收的难度加大，新农村建设面临不少新情况新矛盾。突出表现在：确保粮食等主要农产品供给压力加大、促进农民持续增收难度加大、农业科技支撑能力不足等五个方面的问题。　　孙政才表示，党的十七大对统筹城乡发展、推进社会主义新农村建设作出了重大部署。2008年，要全力促进农业生产不停滞、不滑坡，切实保障主要农产品供给不脱销、不断档，努力实现主要农产品价格不大涨、不大落，积极争取农民增收势头不回落、不放缓，务必做到新农村建设不松懈、不走样，力争实现粮食产量达到１万亿斤以上，农民人均纯收入增长6%以上。重点做好八个方面的工作：贯彻城乡统筹发展方略；保障主要农产品有效供给；多渠道促进农民就业增收；大力加强农业基础建设；加强耕地资源和生态环境保护等等。,今年中央用于“三农”资金四千三百多亿,人大常委会第三十一次会议听取国务院关于推进社会主义新农村建设情况的报告
323,,2008-01-24,　　新华社北京１月２３日电 “倾注三农”专题综艺晚会２２日晚在京举行。中共中央政治局委员、国务院副总理回良玉，全国人大常委会副委员长乌云其木格，全国政协副主席罗豪才等观看了演出。　　晚上7点30分，大型歌舞《在希望的田野上》拉开了晚会的序幕。整台晚会农村特色浓郁，时代特点鲜明，气氛热烈，精彩纷呈。参加演出的文艺工作者和农民朋友通过歌舞、小品、评书等艺术形式，生动地反映了近年来农村税费改革、义务教育、新型合作医疗等政策的贯彻落实情况，真实展现了党中央、国务院出台的强农惠农政策给农业和农村带来的巨大变化，热情表达了广大农民群众对发展现代农业、建设社会主义新农村的坚定信心和美好愿望。演出中，歌舞《新农合赞》、《握手》，小品《剪彩之前》、《洗脚》，歌曲《忘不了》等精心创作的节目不断把晚会推向高潮，赢得了在场观众的阵阵热烈掌声。演出结束时，回良玉等走上舞台，同演职人员亲切握手并合影留念。　　晚会开始前，回良玉、乌云其木格、罗豪才等会见了种粮大户、农民企业家、农业科技工作者、乡村基层干部等“三农”先进典型人物代表，并向全国广大农民和农村基层干部致以新春问候。　　晚会由国家发展和改革委员会、中央农村工作领导小组办公室、农业部、文化部共同主办。中央和国家有关部门负责同志、农民和农民工代表以及社会各界人士800余人一同观看演出。,“倾注三农”专题综艺晚会在京举行,回良玉　乌云其木格　罗豪才出席
