新华社 北京
增强 保障
增强 农产品
保障 农产品
农产品 难度
难度 加大
难度 农产品
加大 农产品
加大 贸易
农产品 贸易
农产品 竞争
贸易 竞争
竞争 农业
农业 比较
农业 效益
比较 效益
比较 下降
效益 下降
效益 保持
下降 保持
下降 粮食
保持 粮食
保持 稳定
粮食 稳定
粮食 发展
稳定 发展
稳定 农民
发展 农民
发展 持续
农民 持续
农民 增收
持续 增收
持续 难度
增收 难度
增收 加大
难度 加大
难度 农村
加大 农村
加大 生产
农村 生产
农村 要素
生产 要素
缩小 城乡
缩小 差距
城乡 差距
城乡 难度
差距 难度
差距 加大
难度 加大
农业 仍然
仍然 国民经济
国民经济 中
中 薄弱
薄弱 环节
环节 农业
环节 农村
农业 农村
农业 发展
农村 发展
关键 阶段
阶段 一号
一号 文件
一号 提出
文件 提出
提出 始终
始终 粮食安全
始终 巩固
巩固 农业
巩固 基础
农业 基础
始终 解决
解决 三农问题
三农问题 全党
全党 工作
全党 重中之重
工作 重中之重
重中之重 要求
要求 始终
始终 坚持
始终 今年
坚持 今年
坚持 一号
今年 一号
今年 文件
一号 文件
文件 强调
强调 加强
强调 农业
加强 农业
加强 基础
农业 基础
农业 建设
基础 建设
基础 历史
建设 历史
历史 现实
我国 经济社会
我国 发展
经济社会 发展
发展 最大
农业 农业
农业 发展
发展 瓶颈
瓶颈 制约
制约 基础
工业化 城镇化
工业化 进程
城镇化 进程
城镇化 中
进程 中
新 矛盾
新 从根本上
矛盾 从根本上
矛盾 改变
从根本上 改变
改变 状况
重大 紧迫
紧迫 战略
战略 任务
战略 年
任务 年
任务 中央
年 中央
年 一号
中央 一号
中央 文件
一号 文件
文件 加强
加强 农业
加强 基础
农业 基础
农业 建设
基础 建设
建设 主题
农业 农村
农业 发展
农村 发展
发展 抓住
抓住 实现
实现 经济社会
发展 基础
基础 问题
基础 加强
问题 加强
问题 农业
加强 农业
加强 基础
农业 基础
农业 建设
基础 建设
基础 内涵
建设 内涵
建设 丰富
内涵 丰富
深化 农业
深化 基础
农业 基础
农业 地位
基础 地位
基础 认识
地位 认识
地位 营造
认识 营造
认识 促进
营造 促进
营造 农业
促进 农业
促进 农村
农业 农村
农业 发展
农村 发展
加强 农业
加强 基础设施
农业 基础设施
农业 建设
基础设施 建设
基础设施 强化
建设 强化
建设 农业
强化 农业
强化 科技
农业 科技
科技 人才
人才 基本
基本 支撑
支撑 提高
提高 农业
提高 综合
农业 综合
农业 生产能力
综合 生产能力
生产能力 推进
推进 农村
推进 体制
农村 体制
农村 机制
体制 机制
体制 创新
机制 创新
机制 稳定
创新 稳定
创新 完善
稳定 完善
稳定 农村
完善 农村
完善 基本
农村 基本
农村 经营
基本 经营
基本 制度
经营 制度
经营 健全
制度 健全
制度 基本
健全 基本
健全 公共服务
基本 公共服务
基本 加强
公共服务 加强
公共服务 农村基层
加强 农村基层
加强 组织
农村基层 组织
农村基层 建设
组织 建设
建设 一号
一号 文件
文件 主题
主题 年
年 连续
年 出台
连续 出台
指导 农业
农业 农村
农村 工作
工作 中央
中央 一号
中央 文件
一号 文件
促进 农民
促进 增收
农民 增收
农民 提高
增收 提高
增收 农业
提高 农业
提高 综合
农业 综合
农业 生产能力
综合 生产能力
综合 推进
生产能力 推进
生产能力 社会主义
推进 社会主义
推进 新
社会主义 新
社会主义 农村
新 农村
新 建设
农村 建设
农村 发展
建设 发展
建设 现代农业
发展 现代农业
现代农业 切实加强
切实加强 农业
切实加强 基础
农业 基础
农业 建设
基础 建设
建设 一号
一号 文件
一号 共同
文件 共同
文件 形成
共同 形成
形成 新
新 时期
新 加强
时期 加强
时期 三农
加强 三农
加强 工作
三农 工作
政策 体系
政策 构建
体系 构建
乡 制度
制度 框架
制度 促进
框架 促进
框架 农业
促进 农业
农业 农村
农村 发展
农村 取得
发展 取得
取得 农业
农业 增产
农业 增效
增产 增效
增产 取得
增效 取得
增效 重大
取得 重大
取得 成绩
重大 成绩
重大 年
成绩 年
成绩 全国
年 全国
年 粮食
全国 粮食
全国 总产
粮食 总产
粮食 超过
总产 超过
总产 亿斤
超过 亿斤
超过 达到
亿斤 达到
亿斤 亿斤
达到 亿斤
达到 连续
亿斤 连续
亿斤 年
连续 年
连续 实现
年 实现
年 粮食
实现 粮食
实现 面积
粮食 面积
粮食 总产
面积 总产
面积 单产
总产 单产
总产 同步
单产 同步
新 中国
新 农业
中国 农业
农民 持续
农民 增收
持续 增收
持续 取得
增收 取得
增收 重大
取得 重大
取得 成效
重大 成效
重大 年
成效 年
成效 全国
年 全国
年 农民
全国 农民
全国 人均
农民 人均
农民 纯收入
人均 纯收入
人均 突破
纯收入 突破
突破 达到
达到 连续
连续 年
连续 实现
年 实现
年 农民收入
实现 农民收入
实现 增速
农民收入 增速
农民收入 超过
增速 超过
增速 年
超过 年
超过 增幅
年 增幅
年 达到
增幅 达到
增幅 增幅
达到 增幅
达到 超过
增幅 超过
新 中国
新 农村
中国 农村
农民 增收
农民 渠道
增收 渠道
渠道 多元化
多元化 工资
工资 收入
收入 成为
收入 农民
成为 农民
成为 增收
农民 增收
来源 农民
来源 增收
农民 增收
粮食 主产区
粮食 农民收入
主产区 农民收入
主产区 增速
农民收入 增速
农民收入 高于
增速 高于
增速 全国
高于 全国
高于 平均水平
全国 平均水平
采访 本报记者
本报记者 朱隽
中央 一号
中央 文件
一号 文件
投入 增量
投入 确保
增量 确保
确保 高于
高于 明显
明显 高于
明显 年
高于 年
高于 财政
年 财政
年 支农
财政 支农
财政 投入
支农 投入
投入 增量
增量 明显
明显 高于
明显 上年
高于 上年
高于 国家
上年 国家
国家 投资
投资 用于
投资 农村
用于 农村
农村 增量
增量 明显
明显 高于
明显 上年
高于 上年
上年 收入
收入 用于
收入 农村
用于 农村
用于 建设
农村 建设
建设 增量
增量 明显
明显 高于
明显 上年
高于 上年
上年 文件
文件 强调
强调 高于
明显 高于
明显 上年
高于 上年
去年 中央
去年 一号
中央 一号
中央 文件
一号 文件
继续 高于
继续 上年
高于 上年
高于 程度
上年 程度
程度 明显
明显 不同
渠道 农业
农业 农村
农村 资金
资金 增量
表明 党中央
党中央 国务院
国务院 三农
三农 工作
工作 高度重视
高度重视 表明
经济 平稳
经济 快速
平稳 快速
平稳 发展
快速 发展
快速 我国
发展 我国
经济 实力
实力 增强
增强 基本
增强 具备
基本 具备
具备 加强
加强 农业
加强 基础
农业 基础
农业 建设
基础 建设
基础 加快
建设 加快
建设 农业
加快 农业
农业 农村
农村 发展
发展 条件
条件 今年
条件 三农
今年 三农
今年 投入
三农 投入
投入 重点
重点 关注
重点 以下
关注 以下
关注 领域
以下 领域
领域 加强
加强 农业
加强 基础设施
农业 基础设施
农业 建设
基础设施 建设
小型 水利建设
水库 治理
治理 加强
加强 农业
农业 技术
技术 流通
流通 加工
流通 领域
加工 领域
领域 服务
服务 当前
当前 市场
市场 状况
状况 价格
价格 波动
波动 状况
状况 农民
经营 给予
经营 更
给予 更
补贴 第三
补贴 加强
第三 加强
第三 农村
加强 农村
生产 生活
基础设施 建设
建设 加强
加强 政府
政府 农村
农村 公共服务
公共服务 加强
加强 农村
加强 义务教育
农村 义务教育
农村 增加
义务教育 增加
增加 新型农村
新型农村 合作医疗
新型农村 制度
合作医疗 制度
制度 补贴
补贴 进一步
补贴 加大
进一步 加大
加大 农村
农村 最低
农村 生活
最低 生活
最低 保障制度
生活 保障制度
保障制度 转移
转移 支付
转移 投入
支付 投入
支付 方向
投入 方向
投入 实现
方向 实现
实现 调整
调整 农田水利
农田水利 耕地
新增 收入
新增 主要
收入 主要
收入 用于
主要 用于
主要 三农
用于 三农
用于 重点
三农 重点
三农 加强
重点 加强
重点 农田水利
加强 农田水利
加强 农业
农田水利 农业
农田水利 综合
农业 综合
农业 开发
综合 开发
开发 农村
农村 基础设施
农村 建设
基础设施 建设
建设 落实
落实 部分
部分 收入
收入 用于
收入 农业
用于 农业
用于 土地
农业 土地
农业 开发
土地 开发
土地 政策
开发 政策
开发 中
政策 中
政策 部分
中 部分
中 地区
部分 地区
部分 存在
地区 存在
地区 没有
存在 没有
没有 比例
及时 使用
使用 及时
及时 管理
管理 规范
规范 问题
问题 特别
农业 土地
农业 开发
土地 开发
土地 资金
开发 资金
及时 用于
及时 农业
用于 农业
用于 土地
农业 土地
农业 开发
土地 开发
问题 各地
部门 继续
继续 加大
加大 用于
用于 农业
用于 土地
农业 土地
农业 开发
土地 开发
土地 专项资金
开发 专项资金
专项资金 工作
工作 监督
监督 检查
监督 确保
检查 确保
检查 农业
确保 农业
确保 土地
农业 土地
农业 开发
土地 开发
土地 专项资金
开发 专项资金
重点 加大
加大 农业
农业 土地
农业 开发
土地 开发
土地 专项资金
开发 专项资金
开发 使用
专项资金 使用
使用 监督
监督 检查
监督 进一步
检查 进一步
检查 健全
进一步 健全
进一步 完善
健全 完善
健全 相关
完善 相关
完善 配套
相关 配套
相关 制度
配套 制度
制度 办法
办法 确保
办法 及时
确保 及时
确保 合理
及时 合理
及时 有效
合理 有效
有效 使用
使用 围绕
使用 耕地
围绕 耕地
围绕 保护
耕地 保护
耕地 目标
保护 目标
保护 建设
保护 开展
建设 开展
建设 土地
开展 土地
开展 开发
土地 开发
土地 整理
开发 整理
开发 土地
整理 土地
整理 开发
土地 开发
土地 整理
开发 整理
开发 专项资金
整理 专项资金
整理 主要
专项资金 主要
专项资金 用于
主要 用于
主要 高标准
用于 高标准
高标准 建设
完善 城市
完善 维护
城市 维护
城市 建设
维护 建设
建设 政策
政策 各地
各地 安排
安排 城市
城市 维护
城市 建设
维护 建设
维护 支出
建设 支出
支出 确定
确定 部分
确定 资金
部分 资金
部分 用于
资金 用于
用于 基础设施
基础设施 建设
建设 维护
维护 完善
维护 农村
完善 农村
完善 基础设施
农村 基础设施
基础设施 加强
加强 农业
加强 基础
农业 基础
农业 建设
基础 建设
内容 推进
推进 社会主义
推进 新
社会主义 新
社会主义 农村
新 农村
新 建设
农村 建设
建设 重大
重大 举措
重大 今年
举措 今年
举措 文件
今年 文件
今年 提出
文件 提出
提出 城市
城市 维护
城市 建设
维护 建设
建设 政策
政策 完善
统筹 城乡
统筹 维护
城乡 维护
城乡 建设
维护 建设
维护 资金
建设 资金
建设 使用
资金 使用
资金 建立
使用 建立
使用 稳定
建立 稳定
稳定 农村
农村 基础设施
农村 建设
基础设施 建设
建设 维护
维护 资金
维护 渠道
资金 渠道
资金 引导
渠道 引导
渠道 更
引导 更
社会 资金
资金 农村
农村 基础设施
农村 建设
基础设施 建设
基础设施 各地
建设 各地
建设 城市
各地 城市
各地 维护
城市 维护
城市 建设
维护 建设
维护 资金
建设 资金
资金 支出
支出 确定
确定 部分
确定 比例
部分 比例
部分 专门
比例 专门
比例 用于
专门 用于
基础设施 建设
建设 维护
维护 安排
安排 城市
城市 维护
城市 建设
维护 建设
建设 支出
农村 地区
农村 倾斜
地区 倾斜
倾斜 安排
安排 专门
安排 资金
专门 资金
专门 用于
资金 用于
制定 安排
安排 专门
安排 资金
专门 资金
专门 支持
资金 支持
资金 基础设施
支持 基础设施
支持 建设
基础设施 建设
建设 维护
维护 努力
维护 构建
努力 构建
努力 农村
构建 农村
构建 基础设施
农村 基础设施
农村 建设
基础设施 建设
建设 维护
维护 长效机制
长效机制 扶贫开发
扶贫开发 年
年 国家
国家 国家
国家 扶贫开发
国家 工作
扶贫开发 工作
扶贫开发 重点县
工作 重点县
工作 新
重点县 新
重点县 安排
新 安排
项目 不同
不同 情况
情况 减少
减少 取消
取消 县
县 以下
县 配套
以下 配套
配套 我国
我国 国家
国家 扶贫开发
国家 工作
扶贫开发 工作
扶贫开发 重点县
工作 重点县
重点县 财力
建设项目 配套
建设项目 资金
配套 资金
资金 到位
到位 影响
到位 项目
影响 项目
影响 实施
项目 实施
实施 问题
问题 十分
问题 突出
十分 突出
中央 支农
中央 投资
支农 投资
支农 总量
投资 总量
总量 十分
十分 有限
取消 贫困地区
取消 涉农
贫困地区 涉农
贫困地区 建设项目
涉农 建设项目
建设项目 地方
地方 配套
地方 规定
配套 规定
规定 现实
现实 今年
今年 文件
今年 确定
文件 确定
生态 建设项目
不同 情况
情况 减少
减少 取消
取消 国家
取消 扶贫开发
国家 扶贫开发
国家 工作
扶贫开发 工作
扶贫开发 重点县
工作 重点县
重点县 县
县 县
县 以下
县 配套
以下 配套
配套 水库
近年来 中央
近年来 投资
中央 投资
中央 重点
投资 重点
投资 支持
重点 支持
支持 农业
农业 基础
农业 建设项目
基础 建设项目
建设项目 地方
地方 投资
投资 项目
项目 省
省 各级
省 政府
各级 政府
各级 负责
政府 负责
政府 落实
负责 落实
落实 没有
县 以下
以下 投资
投资 配套
投资 比例
配套 比例
比例 今年
今年 文件
今年 要求
文件 要求
文件 今后
要求 今后
要求 国家
今后 国家
国家 明确
明确 提高
提高 省级
提高 配套
省级 配套
省级 投资
配套 投资
投资 比例
减少 取消
取消 县
县 以下
以下 配套
近年来 我国
近年来 支农
我国 支农
我国 投资
支农 投资
投资 重点
重点 领域
文件 要求
文件 国家
要求 国家
国家 决定
决定 年
年 提高
工程 中央
中央 补助
中央 投资
补助 投资
补助 标准
投资 标准
标准 人工
每亩 补助
每亩 标准
补助 标准
标准 提高
工程 补助
工程 标准
补助 标准
标准 提高
本报记者 记者
记者 今年
记者 中央
今年 中央
今年 一号
中央 一号
中央 文件
一号 文件
文件 财政
财政 支农
财政 投入
支农 投入
投入 提出
明显 高于
明显 中央
高于 中央
高于 支农
中央 支农
中央 政策
支农 政策
政策 进一步
进一步 提升
提升 财政部
财政部 采取
采取 措施
措施 贯彻落实
贯彻落实 一号
今年 中央
今年 一号
中央 一号
中央 文件
一号 文件
文件 要求
要求 中央财政
中央财政 积极
积极 调整
调整 结构
结构 确保
结构 财政
确保 财政
确保 支农
财政 支农
财政 资金
支农 资金
资金 年
年 中央财政
中央财政 进一步
进一步 加大
加大 三农
三农 投入
投入 力度
投入 投入
力度 投入
力度 规模
投入 规模
年 增加
年 亿元
增加 亿元
亿元 增加
超过 投入
投入 总量
总量 增量
总量 增幅
增量 增幅
近几年 最大
中央财政 进一步
进一步 增强
进一步 财政
增强 财政
增强 支农
财政 支农
财政 投入
支农 投入
投入 针对性
做到 重点
重点 产区
重点 倾斜
产区 倾斜
倾斜 提高
提高 生产能力
提高 倾斜
生产能力 倾斜
倾斜 民生
民生 倾斜
民生 切实加强
倾斜 切实加强
倾斜 农业
切实加强 农业
切实加强 基础
农业 基础
农业 建设
基础 建设
基础 进一步
建设 进一步
建设 促进
进一步 促进
进一步 农业
促进 农业
促进 发展
农业 发展
发展 农民
农民 增收
农民 今年
增收 今年
增收 中央财政
今年 中央财政
方面 给予
方面 重点
给予 重点
给予 支持
重点 支持
支持 大幅度
大幅度 增加
大幅度 粮食
增加 粮食
增加 直补
粮食 直补
粮食 良种
直补 良种
直补 补贴
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
购置 农资
补贴 农资
补贴 综合
农资 综合
农资 直补
综合 直补
直补 补贴
补贴 资金
补贴 完善
资金 完善
资金 产粮
完善 产粮
产粮 县
县 奖励
县 政策
奖励 政策
政策 粮食
粮食 最低
粮食 收购价
最低 收购价
最低 政策
收购价 政策
收购价 积极
政策 积极
政策 推动
积极 推动
积极 现代农业
推动 现代农业
推动 发展
现代农业 发展
现代农业 切实
发展 切实
发展 保障
切实 保障
切实 主要
保障 主要
保障 农产品
主要 农产品
农产品 有效
有效 供应
支持 改善
支持 农村
改善 农村
改善 生产
农村 生产
农村 生活
生产 生活
生产 条件
生活 条件
生活 加快
条件 加快
工程建设 农田水利
工程建设 建设
农田水利 建设
建设 重大
重大 林业
重大 工程建设
林业 工程建设
林业 提高
工程建设 提高
工程建设 农业
提高 农业
提高 综合
农业 综合
农业 开发
综合 开发
综合 能力
开发 能力
能力 大力支持
大力支持 农村
大力支持 义务教育
农村 义务教育
农村 农村
义务教育 农村
义务教育 医疗卫生
农村 医疗卫生
农村 农村
医疗卫生 农村
医疗卫生 文化
农村 文化
文化 农村
农村 社会保障
社会保障 事业
事业 发展
事业 促进
发展 促进
发展 城乡
促进 城乡
促进 基本
城乡 基本
城乡 公共服务
基本 公共服务
基本 均等化
公共服务 均等化
均等化 支持
扶贫开发 重点
扶贫开发 支持
重点 支持
重点 提高
支持 提高
能力 建设
能力 提高
建设 提高
建设 扶贫开发
提高 扶贫开发
提高 成效
扶贫开发 成效
成效 支持
支持 推进
支持 乡镇
推进 乡镇
推进 机构
乡镇 机构
乡镇 农村
机构 农村
机构 义务教育
农村 义务教育
农村 县乡
义务教育 县乡
县乡 体制
体制 集体
集体 林权
集体 制度
林权 制度
林权 改革
制度 改革
制度 推动
改革 推动
推动 化解
化解 农村
化解 义务教育
农村 义务教育
村级 建设
奖补 减轻
减轻 农民
农民 负担
负担 综合
负担 改革
综合 改革
试点工作 记者
展开 今年
今年 中央财政
今年 采取
中央财政 采取
措施 支持
今年 中央财政
支农 项目
特点 尽快
尽快 支农
支农 资金
支农 充分发挥
资金 充分发挥
财政 支农
财政 资金
支农 资金
资金 效益
重大 支农
重大 专项资金
支农 专项资金
支农 特别
专项资金 特别
特别 提高
提高 粮食
粮食 主要
主要 农产品
主要 生产能力
农产品 生产能力
生产能力 专项资金
做到 方案
方案 早
早 指标
指标 早
指标 发挥
早 发挥
早 效益
发挥 效益
效益 大幅度
大幅度 增加
大幅度 三农
增加 三农
增加 投入
三农 投入
不断创新 财政
不断创新 支农
财政 支农
财政 机制
支农 机制
支农 体制
机制 体制
机制 切实加强
体制 切实加强
体制 支农
切实加强 支农
切实加强 资金
支农 资金
支农 管理
资金 管理
资金 提高
管理 提高
管理 资金
提高 资金
提高 使用
资金 使用
资金 效益
使用 效益
粮食 直补
粮食 农资
直补 农资
直补 综合
农资 综合
农资 直补
综合 直补
综合 资金
直补 资金
直补 亿元
资金 亿元
亿元 中央财政
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
施肥 专项资金
专项资金 亿元
亿元 农业
农业 资金
资金 亿元
资金 支持
亿元 支持
亿元 各地
支持 各地
支持 开展
各地 开展
各地 春耕
开展 春耕
开展 备耕
春耕 备耕
备耕 农业
农业 恢复
恢复 记者
记者 年
年 中央
中央 连续
中央 发布
连续 发布
三农 一号
一号 文件
文件 过去
过去 财政
财政 支农
财政 取得
支农 取得
成效 年
年 中央财政
年 用于
中央财政 用于
中央财政 三农
用于 三农
三农 投入
投入 超过
超过 亿元
超过 达到
亿元 达到
亿元 亿元
达到 亿元
达到 年
亿元 年
亿元 达到
年 达到
年 亿元
达到 亿元
亿元 增加
增加 亿元
亿元 增长
增长 数字
数字 增长
增长 背后
背后 体现
体现 党中央
党中央 国务院
国务院 三农
三农 工作
工作 高度重视
高度重视 年
中央财政 用于
中央财政 三农
用于 三农
三农 资金投入
资金投入 累计
资金投入 达到
累计 达到
支农 投入
支农 力度
投入 力度
力度 加大
投入 政策
投入 更加
政策 更加
政策 完善
更加 完善
更加 投入
完善 投入
完善 机制
投入 机制
投入 更加
机制 更加
更加 投入
投入 重点
投入 更加
重点 更加
重点 突出
更加 突出
更加 效果
突出 效果
突出 更加
效果 更加
效果 显著
更加 显著
中央财政 陆续
中央财政 出台
陆续 出台
出台 粮食
粮食 直补
粮食 良种
直补 良种
直补 补贴
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
购置 农资
补贴 农资
补贴 综合
农资 综合
农资 直补
综合 直补
直补 惠农
惠农 补贴
惠农 政策
补贴 政策
政策 农民
农民 直接
农民 受益
直接 受益
受益 程度
程度 大幅度提高
大幅度提高 中央财政
中央财政 安排
补贴 资金
资金 达到
达到 亿元
达到 年
亿元 年
亿元 中央
年 中央
中央 安排
安排 农村税费
安排 改革
农村税费 改革
改革 农村
农村 综合
农村 改革
综合 改革
改革 转移
转移 支付
转移 资金
支付 资金
资金 主要
