时 想
农村土地 制度
农村土地 改革
制度 改革
制度 维护
改革 维护
权益 培育
程度 规模
规模 效益
规模 比较
效益 比较
比较 不少
缺乏 解决
理论 坚持
坚持 家庭
探索 提高
措施 推进
推进 专业
专业 合作
产业化 经营
产业化 促进
经营 促进
劳动力 转移
劳动力 就业
转移 就业
转移 困难
就业 困难
改变 这种
这种 需要
就业 理论
理论 金融
金融 理论
理论 统一
统一 城乡
统一 劳动力
城乡 劳动力
城乡 市场
劳动力 市场
劳动力 形成
市场 形成
市场 城乡
形成 城乡
就业 制度
制度 培育
增强 金融
中 发挥
发挥 作用
作用 管理
管理 理论
理论 创新
政府 扶持
提供 公共服务
公共服务 近年来
近年来 国家
突破 积极
积极 变化
突出 这种
市场 体系
支持 保护
支持 体系
保护 体系
要求 转变
转变 转变
转变 方式
方式 切实
切实 政府
政府 管理
政府 经济
管理 经济
需要 进行
需要 实践
进行 实践
实践 探索
探索 理论
理论 创新
创新 探索
探索 创新
理论 创新
理论 创新
理论 创新
必须 坚持
理论 创新
创新 必须
必须 始终
必须 坚持
始终 坚持
理论 研究
理论 研究
理论 坚持
研究 坚持
理论 创新
创新 坚持
坚持 党
实践 中
理论 实践
实践 认识
理论 创新
实践 增强
实践 主体
理论 创新
理论 创新
推进 理论
理论 创新
理论 必须
创新 必须
必须 基层
基层 基层
基层 调查
基层 研究
调查 研究
理论 出现
成果 理论
成果 创新
理论 创新
理论 创新
开展 合作
开展 研究
合作 研究
理论 创新
理论 创新
创新 坚持
理论 创新
创新 科学
本报 北京
介绍 中国
直接 进入
直接 资本
进入 资本
进入 市场
资本 市场
市场 坚持
资本 市场
市场 实际
实际 情况
进入 资本
进入 市场
资本 市场
政策 支持
不同 水平
水平 研究
研究 开发
关系 生活
做 开发
开发 保险
保险 试点
中央 部门
部门 积极
积极 研究
研究 开发
农民工 保险
保险 产品
要求 开发
开发 保险
经营 保险
保险 方面
方面 经验
保险 企业
积极 鼓励
鼓励 支持
今年 中国
万元 贷款
贷款 利用
利用 资金
经营 搞
支持 经济
经济 中
中 发挥
全国 贷款
贷款 余额
余额 金融机构
金融机构 贷款
金融机构 余额
贷款 余额
资金 需求
产业化 直接
需要 金融
金融 支持
支持 农村金融
改革 加快
银行 经营
中 指出
增加 农户
农户 企业
企业 贷款
贷款 改善
改善 金融服务
金融服务 要求
要求 加快
要求 改革
加快 改革
改革 创新
改革 试点
试点 正在
实施 各地
继续 规范
继续 完善
规范 完善
制度 形式
形式 积极
投资 主体
经济 主体
采取 种
种 模式
模式 坚持
矛盾 解决
合作 银行
增强 功能
功能 有机
有机 结合
结合 起来
强调 政府
政府 不能
地方 经济
经济 发挥
中 积极性
需要 改革
改革 实践
实践 中
获得 去年
去年 我国
金融机构 中
贷款 余额
利用 金融
利用 资金
金融 资金
资金 收益
改革 完善
统筹 城乡
统筹 经济社会
城乡 经济社会
统筹 城乡
统筹 经济社会
城乡 经济社会
体制 创新
体制 建立
创新 建立
建立 市场
城乡 一体化
一体化 经济社会
经济社会 解决
矛盾 促进
矛盾 城市
促进 城市
协调 统筹
统筹 城乡
统筹 经济社会
城乡 经济社会
经济社会 推动
推动 城乡
推动 融合
城乡 融合
城乡 城乡
融合 城乡
城乡 城乡
我国 解决
解决 三农问题
统筹 城乡
统筹 经济社会
城乡 经济社会
实现 现代化
经济 实现
实现 重大
政策 城乡
规模 正在
质量 下降
下降 变化
社会 文明
地区 形成
必须 实行
必须 城乡
实行 城乡
实行 统筹
城乡 统筹
城乡 促进
统筹 促进
统筹 城乡
统筹 经济社会
城乡 经济社会
促进 城镇化
措施 城乡
城乡 收入
城乡 差距
收入 差距
差距 农民收入
农民收入 水平
水平 造成
造成 需求
造成 不足
需求 不足
不足 工业
工业 产品
促进 城镇化
必须 实行
必须 城乡
实行 城乡
实行 统筹
城乡 统筹
城乡 建立
统筹 建立
协调 统一
统一 新型
新型 城乡
新型 关系
城乡 关系
城乡 统筹
关系 统筹
关系 城乡
统筹 城乡
统筹 经济社会
城乡 经济社会
实现 全面
实现 小康
全面 小康
全面 目标
小康 目标
实现 小康
全国 人均
全国 达到
人均 达到
城乡 差距
没有 达到
没有 小康
达到 小康
达到 标准
小康 标准
小康 全面
标准 全面
全面 小康社会
小康社会 应该
应该 城市
农民收入 更
统筹 工业
实现 全面
全面 小康社会
小康社会 目标
目标 统筹
目标 城乡
统筹 城乡
统筹 经济社会
城乡 经济社会
现实 条件
现实 城乡
条件 城乡
条件 关系
城乡 关系
工业化 进程
建立 工业化
建立 基础
工业化 基础
阶段 协调
阶段 工业
工业 支持
实现 阶段
实现 工业化
阶段 工业化
阶段 进入
工业化 进入
进入 阶段
经济 增长
增长 动力
动力 机制
动力 主要
机制 主要
资本 要素
要素 应
应 获得
获得 工业
部门 阶段
经济 结构
经济 结构
城乡 关系
关系 改善
改善 阶段
我国 进入
进入 工业化
工业化 阶段
阶段 统筹
阶段 城乡
统筹 城乡
统筹 经济社会
城乡 经济社会
阶段 城乡
阶段 关系
城乡 关系
具有 统筹
统筹 城乡
统筹 经济社会
城乡 经济社会
统一 新型
新型 城乡
新型 关系
城乡 关系
城乡 统筹
关系 统筹
关系 城乡
统筹 城乡
统筹 经济社会
城乡 经济社会
实现 城乡
实现 一体化
城乡 一体化
一体化 现代化
现代化 城镇化
阶段 城乡
城乡 不同
优势 城乡
城乡 一体化
城市 更
更 城市
统一 新型
新型 城乡
新型 关系
城乡 关系
关系 城乡
城乡 经济社会
城乡 协调
经济社会 协调
环境 调整
调整 城乡
城乡 建立
建立 城乡
建立 统一
城乡 统一
统一 就业
就业 制度
劳动力 市场
就业 渠道
渠道 调整
中 转移
转移 增加
调整 政策
城乡 经济社会
经济社会 得到
得到 优化
城乡 经济社会
城乡 结构
经济社会 结构
经济社会 得到
结构 得到
建立 城乡
城乡 一体化
一体化 经济
解决 三农问题
重中之重 全面
全面 小康社会
现在 销售
坚持 人民
方向 社会主义
社会主义 市场
有机 结合
有机 起来
结合 起来
群众 中
群众 实现
中 实现
结合 实际
主要 范围
范围 具有
具有 程度
基层 主要
环节 加强
帮助 很多
网络 村级
全国 实行
全面 小康社会
方向 当前
正在 制定
全面 小康社会
小康社会 规划
规划 帮助
帮助 提高
提高 增收
提高 致富
增收 致富
增收 能力
致富 能力
致富 提高
能力 提高
提高 就业
就业 改变
生活 全面
全面 小康社会
需要 支持
需要 需要
支持 需要
支持 帮助
需要 帮助
今年 全国
经济 管理
超过 种
种植 养殖
全国 各地
各地 深入
深入 调研
调研 基础
基础 组织
组织 专家
钱 知识
工程 全市
全市 系统
系统 实行
开发 创新
领导 调查
调查 研究
研究 了解
品种 数量
品种 结构
数量 结构
结构 销售
销售 情况
达 今年
近年来 我国
左右 中
中 全国
生活 精神
精神 文化
精神 需要
文化 需要
国家 出台
努力 加强
组织 开展
活动 促进
满足 群众
群众 文化
文化 需求
文化 事业
品种 减少
造成 这种
国家 小康社会
学习 中央
学习 一号
中央 一号
中央 文件
一号 文件
解决 三农问题
重中之重 全面
全面 小康社会
党 转变
强调 全面
强调 协调
全面 协调
科学 促进
小康社会 发挥
持续 改变
条件 构建
构建 新型
提供 经验
创新 机制
领导 村
致富 关键
村 书记
作用 没有
作用 发挥
没有 发挥
致富 关键
转变 改变
改变 干部
组织 起来
组织 学习
起来 学习
学习 学习
中 制定
制度 会议
制度 制度
会议 制度
制度 制度
制度 制度
土地 搞
土地 开发
搞 开发
干部 群众
群众 中
村里 支持
万元 村民
万元 人均
村民 人均
合作 条件
集团 技术
产品 万元
事业 村民
钱 钱
时 没有
没有 没有
中 村民
不能 困难
收入 连续
亿元 达
达 亿元
达 村民
亿元 村民
亿元 人均
村民 人均
化肥 农药
精神 不能
集中 土地
专家 进行
精神 不能
不能 群众
进入 攻坚
进入 阶段
攻坚 阶段
高效 生态
生态 建成
建成 专家
亿元 投资
时间 完成
万元 时间
当前 我国
我国 三农问题
解决 三农问题
比较 全面
我国 三农问题
农村土地 金融
改革 情况
战略 生态
实践 情况
情况 城镇化
城镇化 农民工
培训 工程
培训 村民
工程 村民
合作 经济
合作 组织
经济 组织
改善 城乡
改善 统筹
城乡 统筹
当前 三农问题
了解 我国
我国 三农问题
三农问题 历史
历史 原因
原因 现实
现实 原因
现实 进行
原因 进行
三农问题 历史
历史 体制
体制 机制
体制 政策
机制 政策
机制 安排
政策 安排
原因 造成
解决 三农问题
解决 进行
三农问题 进行
党 解决
解决 三农问题
三农问题 取得
取得 基本
基本 经验
近年来 取得
重视 程度
程度 目标
目标 要求
要求 政策
三农问题 会议
会议 出台
出台 政策
投入 补贴
补贴 转移
中央 解决
解决 三农问题
比较 科学
科学 认识
认识 进一步
进一步 解决
进一步 三农问题
解决 三农问题
解决 提出
三农问题 提出
中 重点
真正 成为
增长 适应
适应 完善
适应 社会主义
完善 社会主义
完善 市场
社会主义 市场
需要 推进
推进 深化
深化 改革
保障 粮食安全
保障 政府
粮食安全 政府
政府 有效
有效 组织
领域 转移
转移 提高
能力 实现
实现 经济社会
经济社会 协调
城乡 统筹
城乡 中
统筹 中
统筹 解决
中 解决
解决 三农问题
三农问题 进一步
小康 实现
实现 全面
实际 创新
全国 各地
技术 技术
主要 用于
技术 知识
知识 管理
管理 经验
管理 成为
经验 成为
成为 经济
经济 持续
生活 这种
生活 变化
这种 变化
经营 管理
建立 现代
建立 企业
现代 企业
保证 村民
村民 基本
基本 生活
基本 需求
生活 需求
集体 统一
集体 管理
统一 管理
统一 收益
管理 收益
集体 群众
土地 发挥
发挥 更
万元 村
集体 村
村 增加
增加 农民收入
农民收入 增加
增加 群众
群众 经济
经济 积极性
积极性 影响
影响 企业
企业 进行
真正 企业
增强 企业
直接 村
过去 时
提出 开发
亩 土地
土地 土地
公司 合作
合作 亿元
村民 进行
改善 村民
村民 条件
条件 生活
生活 环境
公司 进行
进行 管理
城市 生活
规划 投资
规划 万元
投资 万元
过去 万元
村民 企业
企业 经营
企业 管理
经营 管理
管理 旅游
旅游 开发
现在 村
文件 落实
镇 村
承包 村里
耕地 投入
优质 水稻
左右 钱
原因 去年
去年 改革
改革 落实
左右 水平
水平 去年
水平 村里
去年 村里
今年 中央
中央 文件
文件 明确
实行 粮食
下降 减少
收入 北京
全面 小康社会
小康社会 重点
引导 加快
加快 调整
特别 必须
必须 贫困
抓 起来
抓 抓好
起来 抓好
起来 抓
抓好 抓
地区 差距
差距 必须
必须 党
党 农村基层
农村基层 组织
农村基层 成为
组织 成为
本报记者 当前
管理 投入
投入 体制
财政 想
财政 改善
想 改善
想 教育
改善 教育
改善 基础设施
教育 基础设施
城乡 教育
代表 建议
实行 城乡
扶持 机制
扶持 真正
机制 真正
委员 重视
委员 贫困地区
重视 贫困地区
贫困地区 教育
教育 本报记者
传统 文化
委员 建议
委员 加大
建议 加大
地区 制定
规范 地方
规范 政府
地方 政府
教育 措施
情况 经济
经济 地区
地区 积极
积极 帮助
去年 国家
时 集团
增收 亿元
增收 集团
集团 全国
主要 产品
亿元 基本
现在 国家
涉农 企业
本报记者 温家宝
政府 报告
报告 中
中 强调
强调 解决
强调 三农问题
解决 三农问题
力量 代表
经济 提供
完成 投资
家庭 加工
家庭 成为
加工 成为
成为 经济
教育 本报记者
委员 认为
解决 教育
委员 认为
委员 国家
认为 国家
国家 制定
政策 各级
政策 政府
各级 政府
各级 应
政府 应
应 制定
教育 事业
教育 采取
事业 采取
采取 措施
整合 城市
城市 采取
必须 一定
代表 认为
认为 增产
增产 增收
全面 小康社会
小康社会 重中之重
经验 基础
转移 关键
关键 基础
基础 条件
实施 设施
面积 土地
土地 获得
市场 安排
安排 结构
种植 领域
种植 进入
领域 进入
进入 加工
加工 领域
中 实现
转移 关键
关键 鼓励
代表 介绍
介绍 解决
龙头企业 带动
三农问题 产业化
产业化 推动
工业化 转变
城市 基础设施
基础设施 城市
城市 文明
就业 改善
生活 环境
环境 更
市场 推动
提高 种粮
实际 收益
转移 劳动力
进程 明显
进程 加快
明显 加快
加快 代表
代表 解决
解决 三农问题
解决 本报记者
三农问题 本报记者
劳动力 没有
得到 保障
保障 认为
认为 应
国家 解决
国家 三农问题
解决 三农问题
三农问题 政策
政策 措施
解决 三农问题
三农问题 切实
切实 维护
切实 农民工
维护 农民工
维护 权益
农民工 权益
企业 成立
成立 全国
全国 进城
代表 加强
本报记者 政府
政府 加强
建议 政府
办法 改革
改革 解决
政府 加大
加大 教育
教育 培训
培训 投入
投入 更
中 学习
学习 技术
学习 知识
技术 知识
转移 城乡
三农问题 必须
研究 全国
指导 统筹
统筹 城乡
统筹 经济社会
城乡 经济社会
经济社会 推进
推进 城乡
推进 一体化
城乡 一体化
解决 三农问题
三农问题 核心
矛盾 造成
人均 亩
实现 有效
有效 增收
范围 解决
解决 经济
经济 社会
社会 持续
持续 一定
推进 增加
增加 减少
减少 人口
人口 有效
有效 实现
实现 增收
增收 推进
现在 人均
人均 达到
全国 达到
统筹 解决
统筹 三农问题
解决 三农问题
记者 统筹
统筹 城乡
统筹 经济社会
城乡 经济社会
经济社会 推进
推进 城乡
推进 一体化
城乡 一体化
增加 农民收入
农民收入 核心
社会 中
中 统筹
统筹 促进
促进 经济社会
经济社会 全面
经济社会 协调
全面 协调
协调 持续
全市 镇
镇 建立
万元 下降
下降 镇
镇 实现
农村基层 经营
农村基层 管理
经营 管理
经营 部门
管理 部门
管理 围绕
部门 围绕
部门 管理
围绕 管理
围绕 抓
管理 抓
抓 开展
土地 流转
流转 经济
集体 经营
经营 内容
创新 形式
形式 提高
提高 促进
促进 增收
增收 提升
水平 全省
村 开展
乡镇 建立
乡镇 建立
大户 专业
规范 土地
土地 流转
流转 优化
全省 流转
流转 实现
实现 土地
土地 流转
土地 面积
流转 面积
流转 达
面积 达
面积 万亩
达 万亩
流转 面积
土地 实行
实行 流转
土地 流转
规范 土地
土地 流转
利益 关系
社会 资本
社会 投入
资本 投入
投入 提高
产业化 经营
产业化 水平
经营 水平
水平 土地
直接 促进
乡镇 建立
部门 开展
转变 去年
转变 全省
去年 全省
农民收入 增长
达 成为
成为 经济
试点 要求
统筹 经济社会
统筹 经济社会
调查 研究
认为 发挥
发挥 三农问题
三农问题 推动
推动 我国
推动 社会
我国 社会
我国 经济
社会 经济
动力 作用
作用 必须
我国 社会
现在 三农问题
看到 人口
人口 人口
文化 教育
教育 事业
教育 增加
事业 增加
事业 农民收入
增加 农民收入
增加 解决
农民收入 解决
没有 看到
国家 社会
解决 三农问题
三农问题 促进
促进 我国
促进 社会
我国 社会
我国 经济
社会 经济
解决 三农问题
解决 国家
三农问题 国家
资金 支持
资金 建议
支持 建议
不能 解决
不能 三农问题
解决 三农问题
三农问题 必须
必须 我国
我国 经济社会
中 解决
中 三农问题
解决 三农问题
解决 必须
三农问题 必须
事业 中
安排 规划
规划 不能
三农问题 解决
解决 社会
必须 政府
政府 投入
投入 社会
社会 投入
投入 三农问题
政府 投入
工业 政府
政府 收入
政府 增加
收入 增加
增加 劳动力
劳动力 转移
转移 增收
增收 政府
增收 增加
政府 增加
政府 投入
增加 投入
实施 生态
农药 化肥
同志 介绍
达到 建成
化肥 农药
农药 万元
种植 收入
收入 达
任务 完成
任务 情况
完成 情况
采取 培训
获得 农业部
实行 统一
统一 统一
统一 统一
统一 管理
水平 提升
新型 高效
技术 集中
模式 经济
创新 模式
生活 环境
村 基本
村 达到
基本 达到
达到 国家
标准 形成
形成 具有
具有 特色
高效 养殖
养殖 绿色
绿色 种植
模式 重点
模式 抓
重点 抓
要求 龙头企业
龙头企业 农户
生态 产业
农户 收入
收入 正在
正在 成为
围绕 基地
种植 基地
面积 达到
农机 合作社
合作社 实施
合作社 农机
实施 农机
影响 今年
今年 各地
县 用于
资金 达到
达到 万元
农机 合作社
村 今年
今年 试点
试点 投资
投资 达到
达到 万元
现在 使用
使用 农机
农机 不能
不能 土地
土地 流转
土地 实现
流转 实现
农机 提高
水平 增加
水平 农民收入
增加 农民收入
措施 去年
现代 企业
现代 制度
企业 制度
企业 要求
制度 要求
农机 合作社
合作社 出台
农机 合作社
合作社 管理
合作社 办法
管理 办法
办法 农机
农机 合作社
合作社 管理
农机 合作社
振兴 进行
落实 振兴
振兴 时
试点 村
达 万亩
面积 万亩
促进 优质
形成 试点
试点 村
增加 产量
合作社 村
村 农户
收益 减少
一年 努力
努力 农机
农机 合作社
国家 投入
投入 钱
钱 集体
集体 农户
投入 真正
起来 实现
农机 合作社
经营 活动
活动 进行
保证 合作社
