本报记者 家庭
去年 种植
养殖 万亩
万亩 全省
全省 全市
全市 实现
亿元 养殖
产业 产业
产业 产业
产业 产业
万亩 特色
特色 基地
基地 调整
农户 收入
种粮 时
种粮 增加
时 增加
特色 结构
乡 发挥
优势 近年来
有机 结合
结合 起来
结合 去年
起来 去年
收入 达
收入 亿元
达 亿元
亿元 科技
科技 结构
结构 科技
优质 高效
围绕 种
提高 科技
产业化 经营
产业化 取得
经营 取得
培育 具有
养殖 区域
产业化 经营
加工 流通
流通 环节
环节 进行
合作 组织
重点 集中
集中 扶持
扶持 优势
优势 龙头企业
龙头企业 全市
全市 加工
加工 经营
龙头企业 收购
加工 经营
经营 超过
超过 亿元
企业 加工
企业 销售
加工 销售
专业 合作
专业 组织
合作 组织
带动 农户
劳动力 左右
左右 劳动力
企业 获得
获得 收入
收入 亿元
亿元 经济
产业化 经营
规模 企业
企业 销售
销售 亿元
销售 万元
万元 全国
全国 产业化
产业化 重点
产业化 龙头企业
重点 龙头企业
重点 浙江
龙头企业 浙江
基地 面积
去年 公司
达 亿元
蔬菜 开发
蔬菜 公司
开发 公司
开发 带动
公司 带动
村 中
成为 蔬菜
耕地 种植
种植 蔬菜
万亩 成为
成为 最大
标准 实行
绿色 基地
企业 全市
企业 获得
示范 引导
引导 扶持
明确 目标
目标 抓
全面 推进
全面 社会主义
推进 社会主义
推进 现代化
社会主义 现代化
经济社会 协调
地区 实现
地区 经济社会
实现 经济社会
用于 贫困地区
用于 基础设施
贫困地区 基础设施
投资 达
达 万元
贫困地区 经济社会
经济社会 发生
全市 贫困
贫困 乡镇
贫困 全面
乡镇 全面
乡镇 脱贫
全面 脱贫
脱贫 乡镇
乡镇 实现
实现 小康
小康 人均
目标 努力
努力 全市
全市 贫困
贫困 群众
贫困 基本
群众 基本
群众 生活
基本 生活
保障 全面
全面 脱贫
经济 村
村 村级
村级 稳定
稳定 收入
万元 扶持
扶持 实现
实现 小康
小康 乡镇
脱贫 村
村 小康
认识 党
党 农村基层
农村基层 组织
社会 稳定
群众 中
加强 农村基层
农村基层 组织
组织 进一步
矛盾 解决
基层 探索
取得 突破
基本 实现
乡镇 村
乡镇 村
村 调整
调整 去年
区域 面积
规划 面积
规划 达
面积 达
人口 成为
成为 浙江
改革 我国
体制 去年
经济 利益
利益 调整
探索 经济
经济 合作社
改革 集体
经济 合作社
中国 改革
当前 存在
增收 困难
国家 转移
国家 人口
转移 人口
机制 不能
经济 方面
方面 推进
研究 完善
研究 解决
完善 解决
解决 办法
帮助 致富
解决 农村基层
流通 金融
建立 起来
推动 合作
合作 组织
组织 形成
形成 解决
当前 金融
当前 矛盾
金融 矛盾
金融 突出
矛盾 突出
经验 综合
具有 经济
干部 抓
干部 基层
抓 基层
加强 农村基层
加强 组织
农村基层 组织
解决 我国
解决 三农问题
我国 三农问题
我国 具有
三农问题 具有
作用 积极
增加 农民收入
中国 持续
战略 研究
战略 项目
研究 项目
经济 调整
调整 围绕
围绕 保障
围绕 粮食安全
保障 粮食安全
保障 增加
粮食安全 增加
粮食安全 农民收入
增加 农民收入
农民收入 实现
实现 现代化
提高 生活
生活 质量
我国 耕地
人口 时
时 确保
保障 我国
我国 粮食安全
耕地 特别
特别 造成
耕地 应
治理 改善
经济 结构
经济 增加
结构 增加
结构 农民收入
增加 农民收入
增加 现在
农民收入 现在
条件 粮食
国家 实施
战略 具有
战略 重大
具有 重大
地方 没有
没有 影响
没有 粮食安全
影响 粮食安全
解决 我国
我国 三农问题
中央 提出
实现 现代化
基本 实现
实现 现代化
推进 现代化
更 不能
主要 领导
领导 全市
全市 种植
全市 大户
种植 大户
种植 龙头企业
大户 龙头企业
地区 现代农业
实现 现代化
努力 加快
科技 信息
科技 金融
信息 金融
金融 安全
产业 现代
现代 产业
现代 体系
产业 体系
产业 必须
体系 必须
城乡 成为
推进 现代化
推进 工业化
工业化 城镇化
城镇化 结合
城镇化 起来
结合 起来
必须 建立
文化 知识
知识 起来
起来 新型
龙头企业 现代
现代农业 中
龙头企业 现代
龙头企业 现代
产业化 经营
经济 中
产业化 经营
产业化 龙头企业
经营 龙头企业
龙头企业 关键
关键 公司
公司 农户
农户 模式
模式 有效
有效 帮助
风险 市场
市场 调整
市场 困难
粮食 蔬菜
产业化 龙头企业
企业 集团
企业 今年
集团 今年
集团 投资
今年 投资
公司 带动
带动 农户
收入 万元
农户 小康
产业化 龙头企业
重点 龙头企业
企业 带动
农户 产业化
产业化 经营
不少 龙头企业
不少 进入
龙头企业 进入
进入 现代化
现代化 现代
培育 龙头企业
带动 农户
扶持 重点
扶持 龙头企业
重点 龙头企业
龙头企业 相关
资金 亿元
乡镇 形成
成为 现代农业
中心 增加
增加 农民收入
示范 推广
投资 实行
实行 管理
出现 万亩
万亩 万亩
万亩 万亩
万亩 万亩
万亩 万亩
万亩 经济
经济 万亩
万亩 万亩
万亩 养殖
科技 人员
人员 项目
加大 科技
技术 品种
技术 超过
超过 去年
去年 水平
坚持 开发
技术 加工
技术 技术
加工 技术
技术 达到
环境 规范
质量 标准
标准 国际
推动 现代化
现代化 土地
土地 流转
土地 机制
流转 机制
经营 管理
经营 能力
管理 能力
投资 万元
种粮 大户
种粮 扩大
大户 扩大
大户 种植
扩大 种植
扩大 规模
种植 规模
种粮 大户
进城 累计
累计 今年
土地 承包
土地 经营权
中 投入
龙头企业 现代
推进 现代化
现代化 实现
现代化 产业化
实现 产业化
实现 经营
产业化 经营
产业化 经营
经营 家庭
实行 家庭
体制 推进
推进 产业化
产业化 经营
具有 创新
坚持 党
基本 政策
基本 长期
政策 长期
政策 稳定
长期 稳定
稳定 家庭
中央 土地
土地 承包
土地 经营权
关系 解决
土地 经营权
土地 经营权
土地 流转
经营权 流转
经营权 机制
流转 机制
做 大量
试点 试点
试点 地区
试点 地区
试点 深化
地区 深化
地区 农村土地
深化 农村土地
深化 制度
农村土地 制度
农村土地 改革
制度 改革
改革 搞
形式 积极
推进 土地
推进 承包
土地 承包
土地 经营权
承包 经营权
经营权 流转
流转 建立
流转 土地
建立 土地
建立 流转
土地 流转
土地 机制
流转 机制
机制 实现
实现 土地
实现 集中
土地 集中
集中 开发
开发 实现
资源 提高
种粮 大户
种粮 养殖
大户 养殖
大户 大户
养殖 大户
养殖 龙头企业
大户 龙头企业
龙头企业 现代
加工 销售
基地 市场
提供 土地
土地 经营权
村 实行
实行 土地
土地 集体
集体 使用
使用 稳定
生活 增加
增加 农民收入
经验 农业部
农业部 重视
重视 流转
流转 土地
流转 经营权
土地 经营权
经营权 加快
加快 劳动力
劳动力 转移
产业 增加
产业 农民收入
增加 农民收入
增加 大量
农民收入 大量
农民收入 增加
土地 流转
土地 机制
流转 机制
数量 增加
增加 建立
增加 土地
建立 土地
建立 流转
土地 流转
土地 机制
流转 机制
鼓励 劳动力
调整 相关
调整 政策
相关 政策
相关 改革
政策 改革
进城 转变
基本 实现
实现 现代化
全面 升级
全面 促进
升级 促进
建成 实现
投入 亿元
投入 资金
亿元 资金
资金 支持
资金 推动
支持 推动
支持 县域
推动 县域
推动 经济
县域 经济
经济 去年
去年 实际
实际 投入
资金 达
资金 亿元
达 亿元
达 扶持
亿元 扶持
亿元 基础设施
扶持 基础设施
基础设施 项目
项目 建成
开发 项目
开发 安排
项目 安排
投资 亿元
政府 投入
政府 亿元
投入 亿元
投入 产业
亿元 产业
亿元 项目
产业 项目
项目 万元
万元 城市
城市 基础设施
产业化 项目
增长 产业
产业 增长
增长 亿元
亿元 增长
增长 亿元
亿元 增长
实现 增收
增收 出现
出现 增长
今年 增收
地区 三农问题
地区 中
三农问题 中
中 矛盾
收入 增长
过去 突出
现实 中
企业 集团
集团 形成
养殖 加工
一体化 产业链
国家 地区
企业 产品
产品 全国
全国 各地
集团 产业
村民 就业
地方 城市
现代农业 里
成为 种植
成为 种植
推进 现代化
本报记者 党
全面 小康社会
解决 三农问题
经济 加快
经济 城镇化
加快 城镇化
加快 进程
城镇化 进程
时期 我国
行动 记者
精神 解决
精神 三农问题
解决 三农问题
记者 报告
报告 解决
解决 三农问题
三农问题 全面
全面 小康社会
小康社会 重大
重大 任务
重大 我国
我国 人口
增收 困难
困难 实际
实际 情况
全面 小康社会
小康社会 重点
报告 解决
解决 三农问题
解决 必须
三农问题 必须
三农问题 统筹
必须 统筹
必须 城乡
统筹 城乡
统筹 社会
城乡 社会
城乡 经济
社会 经济
我国 经济
经济 社会
经济 加快
经济 城镇化
加快 城镇化
加快 进程
城镇化 进程
研究 解决
解决 三农问题
三农问题 方向
方向 记者
阶段 供给
供给 实现
主要 资源
资源 市场
农民收入 增长
经济 结构
经济 不能
结构 不能
结构 适应
不能 适应
不能 全面
适应 全面
全面 小康社会
小康社会 要求
精神 加快
经济 结构
经济 进行
结构 进行
进行 调整
调整 实现
实现 经济
经济 结构
经济 全面
结构 全面
结构 升级
全面 升级
升级 建立
建立 适应
建立 全面
适应 全面
全面 小康社会
小康社会 要求
农民收入 增长
提高 我国
城乡 协调
协调 调整
调整 区域
区域 优化
优化 发挥
发挥 各地
各地 比较
比较 优势
比较 加快
优势 加快
优势 形成
加快 形成
加快 优势
形成 优势
形成 区域
优势 区域
调整 产品
调整 结构
产品 结构
安全 水平
安全 加快
水平 加快
水平 实现
加快 实现
加快 我国
实现 我国
引导 劳动力
产业 转移
产业 扩大
转移 扩大
扩大 就业
政策 长期
长期 稳定
长期 家庭
稳定 家庭
家庭 推动
推动 经营
经营 体制
经营 创新
体制 创新
产业化 经营
产业化 记者
经营 记者
经济 加快
经济 城镇化
加快 城镇化
加快 进程
城镇化 进程
积极 推进
积极 城镇化
推进 城镇化
推进 鼓励
城镇化 鼓励
转移 实现
实现 城乡
实现 协调
城乡 协调
现代化 过程
过程 基本
基本 城镇化
我国 经济社会
经济社会 面临
面临 最大
国际 经验
人均 达到
我国 人均
我国 实际
实际 人口
人口 全国
全国 人口
根本 原因
我国 城镇化
城镇化 明显
明显 加快
经济 水平
水平 国家
工业化 水平
工业化 国家
水平 国家
解决 三农问题
解决 必须
三农问题 必须
三农问题 积极
必须 积极
必须 推进
积极 推进
积极 城镇化
推进 城镇化
推进 鼓励
城镇化 鼓励
转移 减少
减少 增加
城镇化 水平
城镇化 增加
水平 增加
增加 人均
人均 资源
资源 实现
实现 工业
中国 人口
中国 城镇化
城镇化 必须
城市 体系
推进 城镇化
关系 我国
关系 经济社会
我国 经济社会
基础 条件
不能 搞
重点 形成
农民工 进城
进城 农民工
城镇化 成本
成本 减少
成本 社会
减少 社会
减少 稳定
社会 稳定
稳定 风险
风险 记者
记者 我国
加快 工业化
工业化 城镇化
城镇化 历史
历史 时期
基础 改变
必须 工业化
工业化 城镇化
工业化 进程
城镇化 进程
全面 小康社会
小康社会 要求
必须 真正
必须 始终
真正 始终
补贴 我国
补贴 更
我国 更
我国 需要
更 需要
更 加强
需要 加强
支持 保护
保护 现在
现在 产业
国家 增加
增加 转变
体制 建立
建立 国家
国家 条件
支持 保护
保护 体系
体系 增加
增加 基础设施
基础设施 投入
投入 加强
提高 综合
综合 增加
投入 特别
特别 完善
完善 信息
体系 加快
风险 市场
市场 风险
直接 补贴
流通 成本
流通 推进
成本 推进
推进 改革
改革 加大
支持 力度
我国 时期
经济 进程
进程 中
实现 全面
全面 小康社会
小康社会 目标
目标 具有
现代化 进程
现代化 中
进程 中
中 基本
基本 解决
解决 三农问题
三农问题 实现
实现 现代化
农民收入 提高
有效 供给
获得 提供
收入 安全
收入 保障
安全 保障
工业 增长
专家 没有
国际 市场
增加 农民收入
增加 改善
农民收入 改善
保护 促进
促进 经济
经济 社会
促进 保障
取得 明显
有效 供给
指导 我国
经济 取得
保护 能力
能力 比较
政策 协调
加强 政策
加强 引导
政策 引导
经济 持续
持续 稳定
持续 协调
稳定 协调
协调 保障
当前 我国
经济 进入
阶段 面临
农民收入 增长
程度 主要
解决 提供
制度 基础
制度 三农问题
基础 三农问题
三农问题 解决
解决 不能
必须 制定
制定 完善
完善 配套
基本 制度
制度 更
力度 切实
切实 保护
保护 利益
利益 促进
经济 全面
